job_title,company_name,job_source,job_type,address,job_description,job_posted_date,job_source_url
Data Engineer with AWS Python Pyspark SQL,Envision Technology Solutions,Ceipal,,NC,...  concept and design. Hybrid / <strong>remote</strong> <strong>work</strong> in PST timezone ...,2023-03-29T03:09:17Z,https://www.adzuna.com/details/4007637048
Full Stack Developer (.Net/ MVC/ API/ Angular) | TELECOMMUTE | WM | UHGJP00077370,Goli Tech,Ceipal,,"San Antonio, TX, 78249","Full Stack Developer a. Experience in MVC applications b. Good experience in Unit Testing c. Web API and Rest API d. Angular experience and JQuery e. Experience in good understanding of SOLID principles. f. Some level of experience in design patterns. g. Service Oriented architecture h. Some understanding on CI/CD i. Entity Frame /Dapper ORM j. IIS k. GIT l. Agile Methodologies m. Experience with .net core and cloud technologies is a plu Required Skills : Agile Methodology,.NET Basic Qualification : Additional Skills : Software Developer,Project Manager",2023-03-29T03:09:16Z,https://www.adzuna.com/details/4007636927
"Full Stack Engineer (Java, Spring Framework, Angular, AWS)",Goli Tech,Ceipal,,"Boston, MA, 02110",Dynamic Work schedule - This is 5 days on site a month- in the same week then the remainder of the month is <strong>working</strong> <strong>from</strong> <strong>home</strong>. ( They can fly/drive into the office as well ...,2023-03-29T03:09:16Z,https://www.adzuna.com/details/4007636909
Business Analyst (Remote Internship) (Remote),Staffingly,Freshteam,,"Columbus, Ohio","...  be flexible after successful interviews and agreement. This is a <strong>Remote</strong> (<strong>work</strong> <strong>from</strong> <strong>home</strong>) position. ...  Collaborate with other teams to build valuable content using BI solutions Your perks: Access to very extensive educational resources and opportunities Flexibility (work location, <strong>work</strong> <strong>from</strong> ...",2023-03-29T03:01:49Z,https://www.adzuna.com/details/4007627896
SEMANTIC LAYER - Senior Engineer - REMOTE,RELX,Broadbean,permanent,"USA, North Carolina, Raleigh","/life balance across the organization, with various flexible and <strong>remote</strong> <strong>working</strong> options available to employees Working with Us LexisNexis Legal & Professional is proud to be an equal ...",2023-03-29T02:23:00Z,https://www.adzuna.com/details/4007570588
DEI Reporting Analyst,Elevance Health,Broadbean,permanent,"USA, Indiana, Indianapolis",...  candidates from additional locations. This position will take part in Elevance Health's hybrid work model which includes <strong>remote</strong> <strong>work</strong> and 4-10 days in office per month. The DEI Reporting ...,2023-03-29T02:22:36Z,https://www.adzuna.com/details/4007567757
Engineer Lead,Elevance Health,Broadbean,permanent,"USA, Georgia, Atlanta",...  part in Elevance Health's hybrid work model and is eligible for a <strong>remote</strong> <strong>work</strong> schedule. Responsible for full delivery of end to end system development and maintenance on medium ...,2023-03-29T02:22:36Z,https://www.adzuna.com/details/4007567580
Engineer III,Elevance Health,Broadbean,permanent,"USA, Idaho, Meridian",...  will take part in Elevance Health's hybrid work model and is eligible for a <strong>remote</strong> <strong>work</strong> schedule. Responsible for the delivery of end to end system development and maintenance on complex ...,2023-03-29T02:22:34Z,https://www.adzuna.com/details/4007567205
Business Information Analyst Sr,Elevance Health,Broadbean,permanent,"USA, Georgia, Atlanta","Description LOCATION - HYBRID (<strong>Work</strong> <strong>from</strong> <strong>Home</strong>) in GEORGIA BUSINESS INFORMATION ANALYST SR Responsible for analyzing, reporting and developing recommendations on data related ...",2023-03-29T02:22:32Z,https://www.adzuna.com/details/4007566744
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Houston, Texas","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:21Z,https://www.adzuna.com/details/4007555555
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Salt Lake City, Utah","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:21Z,https://www.adzuna.com/details/4007555560
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Charleston, West Virginia","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:20Z,https://www.adzuna.com/details/4007555488
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Cheyenne, Wyoming","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:17Z,https://www.adzuna.com/details/4007554883
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Rochester, Minnesota","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554774
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Raleigh, North Carolina","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554753
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Fayetteville, Arkansas","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554751
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Albuquerque, New Mexico","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554757
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Birmingham, Alabama","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554710
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Madison, Wisconsin","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554767
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Miami, Florida","...  and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have familiarity ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554734
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"San Antonio, Texas","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554721
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Pittsburg, Pennsylvania","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554720
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Fort Wayne, Indiana","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554738
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Juneau, Alaska","...  and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have familiarity ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554730
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Augusta, Georgia","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554741
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Memphis, Tennessee","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554746
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Milwaukee, Wisconsin","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:16Z,https://www.adzuna.com/details/4007554818
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Philadelphia, Pennsylvania","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:15Z,https://www.adzuna.com/details/4007554620
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Indianapolis, Indiana","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:15Z,https://www.adzuna.com/details/4007554566
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Oklahoma City, Oklahoma","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:15Z,https://www.adzuna.com/details/4007554561
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Fargo, North Dakota","...  and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have familiarity ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:15Z,https://www.adzuna.com/details/4007554580
Mystery Shopper,Telus International,Brilliant Jobs (External apply),,"Charlotte, North Carolina","...  the flexibility and freedom to work from your own <strong>home</strong>, <strong>working</strong> your own hours.What are the main requirements for the opportunity?You must be currently residing in the United StatesYou must have ...  Community?Earn extra incomeAccess to our community wellbeing initiative <strong>Remote</strong> <strong>work</strong> & Location IndependenceFlexible Hours to work around home lifeBetter Work-Life BalanceBe a part ...",2023-03-29T02:21:15Z,https://www.adzuna.com/details/4007554573
