,job_title,company_name,address,job_description,job_source_url,job_posted_date
0,"SR. FRONTEND DEVELOPER | CONTRACT TO HIRE | HYBRID RICHMOND, VA",Vaco Technology,"Richmond, VA (Onsite)","Responsibilities:
* Understand and translate business needs into software solutions that support long-term projects and goals.
* Demonstrate technical solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.
* Design, develop, modify, and support software components from all areas of the technical stack.
* Determine root cause for complex software issues and develop practical, efficient, and permanent technical solutions.
* Serve as a technical lead contributing to and directing the efforts of development teams, including internal and external team members.
* Assist in planning, estimating, and scheduling of tasks and upcoming projects.
* Participate in, contribute to and continuously improve the agile software development processes.
* Implement CI/CD pipelines for automating code integration and deployments of software applications.
* Remain current on new technologies and available vendor packages; evaluate and make recommendations as necessary.
* Work in close partnership with cross-functional teams and management.
* Configure and maintain the SharePoint environment.
* Develop new functionality in the SharePoint environment using forms, web components, and application technologies.

Qualifications:
* Bachelor's degree in Computer Science, Engineering, or related field of Software Engineering experience.

* Experience in modern Front-End Web Application Development - including Angular, React, Vue, TypeScript, JavaScript, CSS, etc
* Strong written and verbal communication skills?
* Ability to work cross teams and collaborate with others?
* Solid debugging, testing, and problem-solving skills
RECOMMENDED SKILLS
Agile Methodology Angular4 Business Requirements Css Code Comments Communication",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
1,SR. GOLANG DEVELOPER,Amtex Systems Inc,"Work From Home, GA (Remote)","Amtex Systems Inc is an information technology and talent solutions company offering talent and BI consulting to the companies in US for over 20 years.


Our solutions are designed to fill resource gaps, by providing the right candidates who deliver value to the organization. Our propensity to nurture and build strong relationships with our clients helps us better understand their business demands and gives us the ability to provide services that are on time and rise above the rest.


Need:
5 years' experience working with Golang go routines and reflect packages
2 years building XML Files
Assist with messaging streams, utilizing core kafka functions
Good Communication Skills
Kafka, Golang, XML
RECOMMENDED SKILLS
Apache Kafka Communication Golang Xml Files",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
2,HYBRID - SENIOR DATA ENGINEER - W2 ONLY,BCforward,"Work From Home, OH (Hybrid)","JOB DESCRIPTION
***CONTRACT TO HIRE POSITION***

HYBRID CANDIDATES OK
Local candidates preferred




Senior Data Engineer

Designs and implements software & support solutions as a member of an agile squad. Software in scope are 3rd party software applications which support finance and regulatory reporting business functions. Technical support functions include ETL, file transfer services, job scheduling, multiple environment support, data quality, upgrades, incident & problem resolution, etc. Being assigned to an agile squad means this role also participates in all agile ceremonies driving activities from design to delivery. Follows best practices and standards and participates in communities of practice to continuously refine and document these standards, following any required compliance & governance requirements.
Responsible and accountable for risk by openly exchanging ideas and opinions, elevating concerns, and personally following policies and procedures as defined. Accountable for always doing the right thing for customers and colleagues, and ensures that actions and behaviors drive a positive customer experience. While operating within the Bank's risk appetite, achieves results by consistently identifying, assessing, managing, monitoring, and reporting risks of all types.
ESSENTIAL DUTIES AND RESPONSIBILITIES: 
Provide technical knowledge, leadership and collaboration as an ETL developer & designer 
Develop and maintain data transfer jobs & schedulers, as required, including to identify & execute opportunities to automate 
Achieve operational excellence by automating processes and writing maintainable, supportable, and testable code  
Assist with problem resolution for end users and customers, including incident & problem management 
Support both application and environment upgrades, new implementations & patches, as required. 
Develop software meeting code quality standards and metrics  
Participate in communities of practice by contributing to and following standards, test driven development, reviewing others code, and sharing knowledge  
Maintain effective partnerships with operations and engineering teams to drive service improvement  
Remain current on IT trends pertaining to their area of practice  
Contribute to the definition of operational procedures for software development  
Maintain appropriate controls and documentation to ensure compliance of audit requirements  
MINIMUM KNOWLEDGE, SKILLS AND ABILITIES REQUIRED: 
Bachelor's degree in Computer Science/Information Systems  
Understanding of Object-Oriented Programming Languages  
Understanding of Software Development Lifecyle  
Strong SQL Skills with ability to perform ETL  
Familiarity with relational database architecture techniques like EDW, IBM DB2, etc 
Demonstrated practice for scripting languages, like Python, Java, Powershell  
Strong Windows Server Experience and/or Application Support Experience 
Prior experience with Alation, Snowflake, NIFI/KAFKA, PowerBI, Tableau, & Git is a plus  
Understanding of Agile Software Development methodologies  
Understanding of data management and info security best practices  
Demonstrated problem solving skills  
Demonstrated collaboration skills  
Excellent verbal and written communication skills 
RECOMMENDED SKILLS
Edw Etl Ibm Db2 Java Python Sql",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
3,TYPESCRIPT DEVELOPER,Kforce Technology,"Juno Beach, FL (Onsite)","Kforce has a client in Juno Beach, FL that is seeking a Typescript Developer.

Responsibilities:
The Typescript Developer will design and develop quality software based on requirements

Develop and maintain automated unit tests and manual functionality tests

Prepare reports on all aspects related to software development

As a Typescript Developer, you will develop and/or perform software automated testing procedures, solutions, and frameworks to ensure software functions as needed

REQUIREMENTS:
AWS Lambda knowledge

Familiar with Microservices

DynomoDb experience is plus

CQRS experience is plus





The pay range is the lowest to highest compensation we reasonably in good faith believe we would pay at posting for this role. We may ultimately pay more or less than this range. Employee pay is based on factors like relevant education, qualifications, certifications, experience, skills, seniority, location, performance, union contract and business needs. This range may be modified in the future.


We offer comprehensive benefits including medical/dental/vision insurance, HSA, FSA, 401(k), and life, disability & ADD insurance to eligible employees. Salaried personnel receive paid time off. Hourly employees are not eligible for paid time off unless required by law. Hourly employees on a Service Contract Act project are eligible for paid sick leave.


Note: Pay is not considered compensation until it is earned, vested and determinable. The amount and availability of any compensation remains in Kforce's sole discretion unless
and until paid and may be modified in its discretion consistent with the law.


This job is not eligible for bonuses, incentives or commissions.


Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.



RECOMMENDED SKILLS
Command Query Responsibility Segregation (Software Development) Microservices Software Engineering Test Automation Type Script Aws Lambda",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
4,AWS .NET CORE DEVELOPER,Yoh,"Fort Mill, SC (Onsite)","AWS .NET Core Developer
12+ month contract (W2 Only)
100% Remote
 
Requirements:
Must have skills: AWS, .Net Core, MS SQL, and Kubernetes
Bachelors in computer science or related.
Senior Developer with 5+ years of experience in designing and implementing complex systems, including developing solutions from scratch.
Developer with 5+ years of experience designing web/service oriented applications using C#,  .NET, SQL server databases.
Experience working with AWS cloud technologies such as EC2, EKS, ECR, Fargate, VPC, S3, RDS, Cloud Formation, CloudWatch/Trail, IAM and Auto Scaling.
Experience in Docker container development and deploying containers to AWS cloud.
Developer with 2+ years of working experience in .NET Core, Kubernetes and Docker containers.
Excellent development experience with REST,SOAP based services.
Excellent understanding of SOA principles and design patterns.
Excellent understanding and writing of SQL server procedures, Views, functions and designing skills.
Extensive web/service development experience with the following technologies: .NET, C#, SQL server,  Node, MVC, Angular, Nuget, Javascript/JQuery, HMTL, CSS
Experience working with exception handling, caching  (Solr or others) and Pub/sub (EMS, ActiveMQ or others)
Working experience with AWS Managed services (Dynamo Db, SQS, Lambda, RDS)
Working experience with publish/subscribe tools such as Tibco EMS or Apache Kafka.

Responsibilities:
Design, develop, test, tune and implement n-tiered web-based applications
Collaborate with other Development teams, Enterprise Architecture and Support teams to design, develop, test and maintain the various platforms and their integration with other systems.
Assess opportunities for application and process improvements and prepare documentation outlining platform road map.
Maintain, troubleshoot, optimize and enhance existing systems.
Work collaboratively with QA, DevOPS teams to adopt CI/CD tool chain and develop automation
Communicate with technical and non-technical groups on a regular basis as part of product/project support.
Design and develop core services and components with expertise in service-oriented architecture.
Design patterns and coding best practices
 






Note: Any pay ranges displayed are estimations.  Actual pay is determined by an applicant's experience, technical expertise, and other qualifications as listed in the job description.  All qualified applicants are welcome to apply.

Yoh, a Day & Zimmermann company, is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Visit [ Link removed ] - Click here to apply to AWS .NET Core Developerto contact us if you are an individual with a disability and require accommodation in the application process.
RECOMMENDED SKILLS
.Net Framework Amazon Elastic Compute Cloud Amazon Relational Database Service Amazon S3 Amazon Simple Queue Service (Sqs) Amazon Virtual Private Cloud (Vpc)",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
5,USER EXPERIENCE DESIGNER,Genesis10,"Mountain View, CA (Onsite)","Genesis10 is currently seeking a User Experience Designer with our client in their Mountain View, CA location. This is a 6 month + contract position with the opportunity to be a 100% remote.

Summary:
We are looking for a User Experience Designer to join our team. To be considered for this position, you must include your portfolio, website, or other samples of work.

Responsibilities:
Effectively communicate conceptual ideas, design rationale and the specifics of user-centered design process.
Create holistic design solutions that address business, brand and user requirements.
Work with web developers and engineers to deliver final products.

Requirements:
BA/BS degree in graphic design, design communication, human-computer interaction or related field, or equivalent combination of education and experience.
3+ years of experience in user experience design or industry experience (corporate, software, web or agency).
3+ years of experience with design tools including Figma.
Only candidates available and ready to work directly as Genesis10 employees will be considered for this position.

Preferred Qualifications:
Experience working with cross-functional teams (including user research, product management and engineering).
Experience participating in the complete product development lifecycle of web and/or software applications.
Solid understanding of user-centered and web design principles as well as current web technologies (HTML, CSS, JavaScript, etc.)
Ability to present cohesive design approaches to a non-design audience (including business, product and technology teams).
Ability to create information architecture diagrams, wireframes, prototypes, and screen flows.
Ability to effectively manage time, prioritize tasks and work within deadlines with little supervision.
Ability to grasp multiple product requirements with careful attention to detail.

Suggested Skills:
Wireframing.
Prototyping.
User Experience.
Product Development.
Communication.

Pay rate range: $64 - $84 hourly.

If you have the described qualifications and are interested in this exciting opportunity, please apply!

Ranked a Top Staffing Firm in the U.S. by Staffing Industry Analysts for six consecutive years, Genesis10 puts thousands of consultants and employees to work across the United States every year in contract, contract-for-hire, and permanent placement roles. With more than 300 active clients, Genesis10 provides access to many of the Fortune 100 firms and a variety of mid-market organizations across the full spectrum of industry verticals.

Benefits of Working with Genesis10:
Access to hundreds of clients, most who have been working with Genesis10 for 5-20+ years.
The opportunity to have a career-home in Genesis10; many of our consultants have been working exclusively with Genesis10 for years.
Access to an experienced, caring recruiting team (more than 7 years of experience, on average.)
Behavioral Health Platform
Medical, Dental, Vision
Health Savings Account
Voluntary Hospital Indemnity (Critical Illness & Accident)
Voluntary Term Life Insurance
401K
Sick Pay (for applicable states/municipalities)
Commuter Benefits (Dallas, NYC, SF)
Remote opportunities available
For multiple years running, Genesis10 has been recognized as a Top Staffing Firm in the U.S., as a Best Company for Work-Life Balance, as a Best Company for Career Growth, for Diversity, and for Leadership, amongst others. To learn more and to view all our available career opportunities, please visit us at our website.
Genesis10 is an Equal Opportunity Employer. Candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
RECOMMENDED SKILLS
Attention To Detail Brand Identity Css Communication Engineering Graphic Design",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
6,SENIOR .NET DEVELOPER,Oscar Associates Limited (US),"Kansas City, MO (Onsite)","Senior .NET Developer
Contract
8 Months
$75- $110 p/h
Kansas City (Hybrid - occasional visits to office)
My Client is looking for a Senior .NET Developer to join them on an initial 8 month contract basis. The role will be mainly remote but may require occasional visits to the office especially when in vital points of the project.
The ideal candidate will have the following set of skills:
- Excellent .NET Development Experience
- Strong .NET Framework Experience ie MVC, ASP.NET, .NET Core
- Good Cloud Experience (cloud certifications highly desirable)
- Experience with Angular/ReactJS (desirable)
- Strong Azure DevOps Experience
- Experience leading/being a senior member of teams
Unfortunately we are unable to provide sponsorship for this role.
Oscar Associates Limited (US) is acting as an Employment Business in relation to this vacancy.
RECOMMENDED SKILLS
.Net Framework Angular4 Asp.Net Core Cloud Computing Mvc Microsoft Azure",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
7,TABLEAU DEVELOPER (CONTRACT),Ariat,"San Leandro, CA (Onsite)","About the Role

The Tableau Developer will report to the Planning and Visual Analytics Manager. You will be a member of the Data Analytics team within the IT organization. You will engage with Tableau contacts across the organization. This opportunity will allow you to apply your passion for developing Tableau dashboards in a multi-channel, footwear, and apparel organization!

You'll Make a Difference By
Engaging with stakeholders iteratively to translate requirements into effective dashboards
Educating stakeholders on how to leverage visualizations in addition to tabular data
Promoting the adoption of Tableau throughout the organization
Effectively communicating data source requirements to fellow IT team members
Providing support and troubleshooting issues as they arise
About You
Bachelor's degree in Business (Data Analytics), Statistics or Data Science
5+ years of advanced, preferably expert-level experience with Tableau Desktop
5+ years of SQL experience
Advanced, preferably expert level skills with Tableau Desktop
Knowledge of data visualization principles and effective dashboard design
SQL experience
Attention to detail and the ability to reconcile data
Ability to troubleshoot issues reported by users
Preferred Qualifications
Tableau Certification: Data Analyst or above
Tableau Community Profile
Experience analyzing multi-channel data, including retail point-of-sale data


About Ariat

Ariat is an innovative, outdoor global brand with roots in equestrian performance. We develop high quality footwear and apparel for people who ride, work, and play outdoors, and care about performance, quality, comfort, and style.

The hourly range for this position is $85 - $95 per hour.

The salary is determined by the education, experience, knowledge, skills, and abilities of the applicant, internal equity, and alignment with market data for geographic locations. Ariat in good faith believes that this posted compensation range is accurate for this role at this location at the time of this posting. This range may be modified in the future.
RECOMMENDED SKILLS
Apparel Attention To Detail Communication Dashboard Data Analysis Data Science",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
8,INFORMATICA DEVELOPER,Genesis10,"New York, NY (Onsite)","Genesis10 is currently seeking an Informatica Developer with our client in the financial industry in their Charlotte, NC, Dallas, TX, and Pennington, NJ locations. This is a 6 month + contract position.

Responsibilities:
We are looking for a Mid-level Informatica Developer who will focus on ETL development within an existing development team
Work with the developers, offshore, business, and technology stakeholders in a complex environment across different geographic locations, take ownership of the business outcome and development/delivery

Requirements:
Have exposure to all facets of Extract, Transform, and Load (ETL) processes, able to create the complex mappings in order to extract the data from source to target using Informatica, and possess a broad understanding of multiple technologies, including Mainframe, RDBMS, Master Data Management, Analytics, UNIX shell scripting, and strong data warehouse foundation
Hands on development work experience with Informatica Power Center 9.x or above
Work experience with SQL, RDBMS, complex queries, optimization, and fine tuning
Hands-on Informatica Components (Designer, Monitor, Repository Manager, and Workflow Manager) using Informatica Power center 9.x
Work experience with job scheduling tools like Autosys or CONTROL M
Work experience with UNIX shell scripting for file handling and scheduling
Strong written and verbal communication skills

Desired Skills:
Bachelor's degree in Computer Science or equivalent
Knowledge of production break/fix code changes and test cycle defect resolution, job execution, and recovery
Agile development practices
Knowledge on version control/configuration management tools, knowledge on deployment scripts, exposure to CI/CD tools
Knowledge of integration with Big Data Technologies
Financial Services industry experience
Any Industrial certification on ETL/Hadoop or other Data Engineering technology is a plus

Pay Range: $51.73- $59.73

Only candidates available and ready to work directly as Genesis10 employees will be considered for this position.

If you have the described qualifications and are interested in this exciting opportunity, please apply!

About Genesis10:
Ranked a Top Staffing Firm in the U.S. by Staffing Industry Analysts for six consecutive years, Genesis10 puts thousands of consultants and employees to work across the United States every yearin contract, contract-for-hire, and permanent placement roles. With more than 300 active clients, Genesis10 provides access to many of the Fortune 100 firms and a variety of mid-market organizations across the full spectrum of industry verticals.

Benefits of Working with Genesis10:
Access to hundreds of clients, most who have been working with Genesis10 for 5-20+ years.
The opportunity to have a career-home in Genesis10; many of our consultants have been working exclusively with Genesis10 for years.
Access to an experienced, caring recruiting team (more than 7 years of experience, on average.)
Behavioral Health Platform
Medical, Dental, Vision
Health Savings Account
Voluntary Hospital Indemnity (Critical Illness & Accident)
Voluntary Term Life Insurance
401K
Sick Pay (for applicable states/municipalities)
Commuter Benefits (Dallas, NYC, SF)
Remote opportunities available

For multiple years running, Genesis10 has been recognized as a Top Staffing Firm in the U.S., as a Best Company for Work-Life Balance, as a Best Company for Career Growth, for Diversity, and for Leadership, amongst others. To learn more and to view all our available career opportunities, please visit us at our website.

Genesis10 is an Equal Opportunity Employer. Candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
RECOMMENDED SKILLS
Agile Methodology Apache Hadoop Big Data Ca Workload Automation Ae Communication Configuration Management",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,1 DAY AGO
9,FULLSTACK DEVELOPER,BCforward,"Hoboken, NJ (Onsite)","Fullstack Developer
BCForward is currently seeking highly motivated Full Stack Developer - at Wilmington, DE, New York City, Jersey City, NJ!

Our client is one of the oldest financial institutions and offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporations. Their history spans over 200 years and today are the leaders in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
Job Title: Java Full Stack Developer
Type: W2 (Strictly No C2C and no sponsorship available)
Location: Wilmington, DE, New York City, Jersey City, NJ!
Pay Range: $60-$69/hour
Duration:6 Months C2H
Hybrid Model: (Hybrid Remote 3 days onsite and 2 days work from home)

Job Description:
Contributing member of an Agile Scrum team within the Digital Technology Organization.
Expert in in Full Stack design technique as well as experience working across large environments with multiple operating systems/infrastructure for large-scale programs (e.g., Expert Engineers) starting to be firm-wide resources working on projects across JPMC
Is multi-skilled with expertise across software development lifecycle and toolset
May be recognized as a leader in Agile and cultivating teams working in Agile frameworks
Sought out as coach for at least one technical skill
Strong understanding of techniques such as Continuous Integration, Continuous Delivery, Test
Driven Development, Cloud Development, resiliency, security
Stays abreast of cutting edge technologies/trends and uses experience to influence application of those technologies/trends to support the business; may give speeches and outside the firm, writes articles

Additional Skills:
Micro services
Kafka
AWS
Cassandra

About BCforward:
BCforward began as an IT business solution and staffing firm. Founded in 1998, BCforward has grown with our customers' needs into a full-service personnel solutions organization. Headquartered in Indianapolis, Indiana, BCforward also operates numerous delivery centers across North America and India. We are currently the largest consulting firm and largest MBE certified firm in Indiana. Our uninterrupted growth has allowed BCforward to deliver uniquely configured IT staffing and project solutions for over years of catering to our customers' specific needs. BCforward currently maintains a team of over 5000 global resources. With our additional brand, Stafforward, together we have the capabilities to deliver services for a variety of industries in both public and private sectors which allows us to address your most challenging needs.

www.BCforward.com
www.facebook.com/bcforward

This posting is not an offer of employment. All applicants must be authorized to work in the United States and willing cooperate with a background check and drug screen, to the extent permitted by federal and local laws up to, and including, both criminal and financial reviews. The submission of intentionally false or fraudulent information in response to this job posting shall render the applicant ineligible for the position. BCforward is an equal opportunity employer. Any subsequent offer of employment shall be considered employment at will regardless of the anticipated assignment duration.


Interested candidates please send resume in Word format Please reference job code 183766 when responding to this ad.
RECOMMENDED SKILLS
Agile Methodology Apache Kafka Cassandra Coaching And Mentoring Continuous Delivery Continuous Integration",https://www.careerbuilder.com/jobs?cb_apply=false&cb_veterans=false&cb_workhome=false&emp=jtct%2Cjtc2%2Cjtcc&keywords=Developer&location=Us&page_number=4&pay=&posted=1&sort=date_desc,TODAY
