job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type
React.JS Developer -Onsite,ClifyX,"Houston, TX, USA","ClifyX group is an award winning IT Consultancy formed in 1998. Our Mission is to provide our clients with Optimal Technology solutions that are effective and within budgets. We specialize in helping Organizations to review their strategic SOW Projects/Talent needs and implement high value and cost effective solutions to increase profitability and efficiency. Our consulting capabilities include expertise in Cloud, Artificial Intelligence, Data Analytics and compliance aspects of Cyber Security d",https://www.dice.com/job-detail/d2ced5e6-0b21-450c-a2ad-0520f5dffe6a?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 2 hours ago,Dice,contract
Workday HCM Full Stack Developer (Remote),Strategic Staffing Solutions,"Remote or Deerfield, IL, USA","STRATEGIC STAFFING SOLUTIONS (S3) HAS AN OPENING! S3 is seeking a Workday HCM Full Stack Developer for one of our partners in the Finance industry! Ideal candidates will have a strong background in Workday HCM and HR domain knowledge as well as extensive experience using Workday Studio to build integrations. Candidates MUST have experience with 2 or more programming languages including: Java, C#, Python, Go JavaScript, C++, etc. Corp-to Corp not allowed Job Title: Workday HCM Full Stack Develo",https://www.dice.com/job-detail/984f887c-846f-413d-8560-5394949dd4c1?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 15 hours ago,Dice,contract
Web Developer,Randstad Technologies,"Remote or Sunnyvale, CA, USA","job summary: Experience/Skills required: Bachelor's degree in Computer Science or related technical field. MS/PhD would be a plus. 3+ years experience in HTML5, JavaScript, CSS3, AJAX and general Web 2.0 techniques in the context of interactive Web Applications. understanding of responsive design techniques and principles A passion for all things JavaScript, UI and Front End Must be able to work effectively both on teams as well as be self-motivated, task oriented and organized. customer focus",https://www.dice.com/job-detail/63940cfd-e124-43af-8613-1c4da70089ad?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 21 hours ago,Dice,contract
Full Stack Developer,Randstad Technologies,"Malvern, PA, USA","job summary: Responsibilities Develop and implement features related to various martech applications within the orchestration family (Seismic, OneTrust, Workfrontetc) . Lead integration and modernization initiatives. Qualifications Full Stack Developer background Experience with APIs, AWS. General understanding of a SaaS tool. Good to have but not a must - Dynamics, Marketing/Sales, Email setup, DataStage. Familiarity with marketing technologies strongly preferred location: Malvern, Penns",https://www.dice.com/job-detail/894bb530-c34e-408e-b7f4-40accc27c12d?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 3 hours ago,Dice,contract
.NET Developer,Randstad Technologies,"Sacramento, CA, USA","job summary: Our client is looking for a .NET Developer for a 6 month hybrid (up to two days remote) contract opportunity located in Sacramento, CA. This role has a high chance of extensions. location: Sacramento, California job type: Contract salary: $50 - 55 per hour work hours: 8am to 4pm education: Bachelors responsibilities: Required Technical Skills and Experience * Expert level Angular, .NET Core (C#), Visual Studio, JavaScript, TypeScript * Extensive, recent experience with",https://www.dice.com/job-detail/c037c20a-76b4-4113-90ad-55bb88dfa9bd?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 2 hours ago,Dice,contract
ETL Developer,Randstad Technologies,"Jersey City, NJ, USA","job summary: Responsibilities: As an ETL Developer, candidate will be expected to help the team craft data solutions to meet business and enterprise requirements using SQL and ETL Tools to enhance and support a Data Warehouse. Required Skills and Experience we are looking for: SQL skills and awareness / experience of good coding practices and ability to articulate such. Practical working experience with relational databases, preferably Oracle Exadata. Familiarity with Data Warehouse / Data Ma",https://www.dice.com/job-detail/b77862b5-a184-4236-ac68-46ea090b7c3e?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 3 hours ago,Dice,contract
Software Developer,Randstad Technologies,"Remote or Austin, TX, USA","job summary: Description: We are looking for a talented Full Stack Developer to join the Digital Accelerator Retirement Experience team to build customer facing and backend applications. Work closely with Tech leads and business partners to define Agile stories for new capabilities. Hands on coding, perform code reviews, unit testing and production issue solving. Assist in design and implementation of new stories and bug fixes. Mentor junior staff in the team and help them reach their career go",https://www.dice.com/job-detail/51d229b8-6796-45c6-a0ca-630ef3e92cbc?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted moments ago,Dice,contract
TPF Developer,United IT Solutions,"Atlanta, GA, USA","Sr. TPF Developer - Multiple Opportunities Atlanta, GA, (Day-1 Onsite/Hybrid) 12+ months Description: Person should have PNR, Reservation domain experience. Exp.: 8-9 + years of experience required 8-10 Yrs core skills of Development in TPF, zTPF5-6 Yrs. fundamentally in Development and not Support related activitiesStrong knowledge in TPFC & TPFDFAssembler knowledge is a mustSabretalk is a plusSwagger and DFDL are desirableAirline or GDS Domain exp. is a must.",https://www.dice.com/job-detail/5e1a1c85-18ad-4ffb-9a40-fbf3f722d8d5?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 1 hour ago,Dice,contract
Power Platform Developer,"PSR Associates, Inc.","Richmond, VA, USA","PSR Associates, Inc. is an IT consulting firm specializing in Staffing and Recruiting Services. People. Solutions. Results. Founded in 2003, PSR Associates, Inc. is headquartered in Atlanta, GA, with additional offices in Tampa, FL; Washington, D.C.; Charlotte, NC; Austin, TX; and Irvine, CA. Trusted, connected, experienced and fast, PSR Associates delivers the right talent to help leading companies perform at their best. Power Platform Developer Position Description We are seeking a Power Plat",https://www.dice.com/job-detail/36af0320-89d7-48ff-9bd3-b23e617693b1?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted moments ago,Dice,contract
Developer-Full Stack Senior,Randstad Technologies,"McLean, VA, USA","job summary: Randstad Technologies is hiring and we're looking for someone like YOU to join our team! If you are seeking a new opportunity, looking to grow in your career, or you know someone who is - we want to hear from you! Take a look at the below opportunity, or feel free to visit RandstadUSA.com to view and apply to any of our open roles. location: Mc Lean, Virginia job type: Contract salary: $76.25 - 81.25 per hour work hours: 8am to 5pm education: Bachelors responsibilities:",https://www.dice.com/job-detail/f4596b9f-3018-4ff9-a316-09ad4be3fda4?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=f1696a51-f442-44a2-9677-c5f797d7443c,Posted 3 hours ago,Dice,contract
