job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type
Web Programmer,Baltimore Composers Forum,Remote,"The Baltimore Composers Forum (BCF) was founded in 1993. The BCF’s mission is to support local composers by presenting concerts of their original works, promoting and facilitating interaction with other artists, performers, and arts organizations, and educating the community about new music. Since its inception, the BCF has presented over one thousand original works by Baltimore area composers. BCF’s public concerts have been organized around themes ranging from traditional solo and ensemble pieces to interactive computer and multi-media works.
*The person does not need to have any music knowledge or experience.
Role:
WordPress Programmer",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&ea=1&cs=1_60eac3b7&cb=1679635086694&jobListingId=1008546464936&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-75687085f6ce84cf-,24h,Glassdoor,Contract
C++ Developer - REMOTE,VEAH Consulting Services,Remote,"Role: C++ Developer
Client Location: REMOTE (Onsite 1 week/month in any of these locations - Westlake TX, Durham NC, Jersey City NJ, Boston MA)
Duration: 6+ months
Job Description:
· Needs UNIX and Sockets/IPC
· Updated development experience (not just maintenance)",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&ea=1&cs=1_1a5aabf2&cb=1679635086694&jobListingId=1008546335351&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-e57a38b25d009518-,24h,Glassdoor,Contract
RPA Developer (Automation Anywhere),Macro Solutions,,"Macro Pros has an immediate opening for an RPA Developer. The role is long-term (Contract / Contract-to-hire) and open to all Visa holders.

It's a hybrid position supporting our client in Princeton, New Jersey. Interested candidates should be able to come into the office as required by the project. There is no set schedule of when they need to be in the office. Candidates must be within a commutable distance by bus, train, and car (live 2 hours or less from Princeton).

For applicable candidate, prior experience as a .Net Developer is required. Typically, these candidates will have a year or so development experience before switching to RPA Development. Any candidate that goes from graduation to RPA Development or Testing to RPA Development will be declined. The reason being that without .Net Software Development experience, they’re going to be in a supportive role and unable to get into the code.",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&cs=1_05301c7c&cb=1679635086694&jobListingId=1008546302875&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-62e5d8ba7aca5562-,24h,Glassdoor,Contract
Full Stack Web Developer,Rent-A-Christmas,"New York, NY","Looking for an experienced full stack web developer for an immediate 2-3 month full-time project.
must have experience:
Liquid
Hydrogen and oxygen
SQL or other database
GIT repo
React
HTML 5",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&ea=1&cs=1_f6cf057b&cb=1679635086694&jobListingId=1008546562440&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-0ec835c3b80d0629-,24h,Glassdoor,Contract
Software Engineers,Geologics Corporation,"Denver, CO","Position Title: Software Engineer
Onsite Location: Littleton/Watertown, CO
Required: Active Top Secret Clearance
Rate: $50.00 - $55.00 Hourly DOE / W2 Hourly Contract only with Limited Benefits
No 1099, No third parties, no C2C. No exceptions (Sorry).

Geologics is seeking an experienced Software Engineers for a onsite required roles in the Littleton/Watertown, CO area. Candidates with an Active Top Secret Clearance Required and SCI is preferred. Worker will Telework < 50%.
Multiple Openings!!!
Minimum Qualifications:",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&cs=1_e6877204&cb=1679635086694&jobListingId=1008546584960&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-84833246d7aac576-,24h,Glassdoor,Contract
DevOps Engineer,Enstructure LLC,"Austin, TX","Do you have a passion for using technology to solve complex problems? Do you love the thrill of working in a fast-paced environment where every day is different? If so, then we want you to join our team!
We are a dynamic cloud consulting company that values customer satisfaction above all else. We use the latest cloud technologies to develop innovative solutions that help businesses optimize their cloud infrastructure and achieve their goals. But we're not just focused on our clients - we also care deeply about our team members and creating an inclusive workplace where everyone can thrive.
As our DevOps Engineer, you'll work alongside our Principal Solution Architects on exciting client projects where you'll have the opportunity to showcase your expertise in cloud technologies and services. You'll be the first point of contact for our customers, providing top-notch service and ensuring their satisfaction. And you'll collaborate with cross-functional teams to design, develop, and deploy secure cloud-based solutions that deliver outstanding results.",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&ea=1&cs=1_c3b3bfec&cb=1679635086695&jobListingId=1008546644481&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-071ba1c6621a3121-,24h,Glassdoor,Contract
Java Full stack React Developer,Kaizen Technologies,"Plano, TX","Required Skills :

Java,React, Spring, Rest API, Pivotal Cloud, Kafka, AWS


Job Description :

Role: Java Full stack React Developer
Location: Plano, TX (Day 1 Onsite)
Duration: Contract
Client : JPMC


JD:

Required Skills:


Nice to have:",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&cs=1_a8e50a60&cb=1679635086694&jobListingId=1008546523358&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-b60fac812e1b5f7a-,24h,Glassdoor,Contract
Software Engineer Associate,"Stefanini, Inc","Dearborn, MI","Stefanini is looking for a Software Engineer Associate at Remote Location
For quick apply, please reach out to Rakesh Singh:
Phone 248 728 2010
Email: rakesh.singh@stefanini.com
Position Description:
Data Engineer the Credit Technology & Software organization creates digital software products for dealers and customers to support the Credit's strategic goal to be the reason customers choose and stay
Senior Data Engineer will contribute to the development of new digital products for Credit Commercial customers
Will expand the one-stop-shop of products and services offered to commercial customers",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&ea=1&cs=1_b1c7b082&cb=1679635086695&jobListingId=1008546585934&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-cebfd63f31c45cca-,24h,Glassdoor,Contract
Sr .Net Developer - Houston,Accolite Digital,"Dallas, TX","Join a team of the top 1%.

We believe in attracting and retaining the brightest technical minds from diverse backgrounds and nationalities to come together and create an enriched pool of global talent. Recognized as one of North America's fastest-growing companies, we aim to attract people who are passionate about technology and creating a real impact while working in collaborative environment with the latest technologies.

Our mission is to solve our client's most complex digital challenges by engaging the brightest of technical minds. We are looking for candidates who thrive in an innovative and collaborative environment who love solving problems and having fun while doing it.

Houston, TX - Remote/Onshore",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&ea=1&cs=1_3a25245c&cb=1679635086695&jobListingId=1008546365253&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-5ef46e4eabca16b1-,24h,Glassdoor,Contract
Sr. Java Developer with Mendix,Datanetiix,"Irvine, CA","Job Description
Skill set: Core Java, J ANSI SQL, Mendix, JDBC
Must Have Skill
Should have experience in Low code Platform in Mendix.
Experience in Java application development
Should have knowledge in SQL
Should have completed at least 2 project in Mendix
Good Communication and soft skills",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000187120d7c6ba3e0447f6c621531&src=GD_JOB_AD&t=SR&vt=w&uido=1E3EAA49EFFA02826732B3BCE3A0CCC4&ea=1&cs=1_4c60380a&cb=1679635086695&jobListingId=1008546515750&jrtk=3-0-1gs90qv512ead001-1gs90qv6dg2pn800-914fabd06434334c-,24h,Glassdoor,Contract
