job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type
"SOFTWARE DEVELOPER
",Capgemini,"Des Plaines, IL","Duration: 8+ months

Job Description:

Collaborate with product owners, UX designers, data analysts, scrum masters, and developers to develop a world-class user experience.
Recommend and effectively explain improvements in functionality, and UX elements that enable users to achieve their goals.
Be an expert in building working relationships across divisions.
Research, advocate and implement industry standard coding methodologies to improve workflows through the selection of evolving technologies and tools that your team will use to build expert-level user experiences.
Develop and continually improve client-side and server-side architecture for web applications.
Maintain reusable component libraries for design patterns.
Incorporate content management system into the application architecture

Qualifications
Java/Python AWS



The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job.

A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion.",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=5fc222d27ddaaffe,Posted Today,Indeed,Contract
"Freelance Frontend Developer
",For You Design,"Downers Grove, IL","1 - 2 Years Experience
FYD is a collaborative team of designers, developers, and marketing specialists who connect businesses to their audiences by building memorable brands. We are looking for a Frontend Developer who will take on a key role on our team to deliver functional, intuitive websites.
DETAILS
Contract position (20 hours a week).
Potential full time role after 3 month contract.
Remote position. Our office is in the heart of downtown Downers Grove, you are welcome to be onsite if preferred.
REQUIREMENTS
Bring ideas and strategic thinking to creative execution to drive results.
Collaborate with the rest of the development team to design and launch new features.
Experience working with graphic designers and converting designs to visual elements.
Experience working with frameworks such as WordPress and Laravel.
Detailed experience with coding and the ability to troubleshoot and analyze websites using HTML, SCSS, JS, and comparable languages.
Development experience for both mobile and desktop.
Maintain code integrity and organization with a knowledge of code versioning tools such as Git.",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=195e161708d24129,Posted Today,Indeed,Contract
"Shopify Designer / Developer (Front End)
",Customer Paradigm,"Boulder, CO 80305","(Remote, but based in the US)
Want to join an amazing team where you’ll get to work on challenging, cutting-edge Shopify projects?
Customer Paradigm, a Boulder-based Website Development and Interactive
Marketing Company, is looking for someone with solid Shopify experience to help out our clients.
You should have:
Shopify skills (design sites that work)
Enjoy working with other talented programmers
This is a contract position for the right person, and has the potential to become a full time position.
You’ll work with our team of top programmers on cutting-edge projects for some of the biggest brand name companies.
Bonus points if you:
Dream in code
Have previous experience with Magento eCommerce
Enjoy a little ping pong & can dodge a Nerf Dart while coding up a storm.
If this sounds like you, you’ll be a great fit with our culture.
We don’t take ourselves too seriously (very low egos), but we do take what we do seriously, and have a high standard of excellence.
And we value everyone’s ideas. If you can do things better, we’re open to it.
In return, Customer Paradigm offers:
A chance to grow your skill set by working across the entire stack
Work-life balance. Enjoy skiing, snowboarding or hiking in the mountains on the weekends. We don’t work on the weekends, or pull crazy hours. We’re serious about this. Because we don’t want you working on an important site when you haven’t slept in three days.
A pay check and benefits!
Free coffee
A chance to make a difference, and work with an amazing team.
Please send:
Your Resume
Sites you’ve worked onto We look forward to hearing from you!",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=48c22c9d1133f8ab,Posted Today,Indeed,Contract
"Front End Developer
",Capgemini,"Waltham, MA","Duration: 8+ months

Job Description:
Strong development skills- React
UI/UX development lead experience
Hands on experience with Java script
Experience building reusable components
Backend system integration experience
HTML5, CSS; Node JS - Good to Have
Experience with built on open source platform

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job.

A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion.",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=d46b9b15070f6d64,Posted Today,Indeed,Contract
"Full Stack Developer
",Dallas Endoscopy,Remote,"Full Stack Developer
A little about us
We're a close-knit company serving the healthcare sector. We'd like a talented and experienced software developer to join our team. We have many interesting, meaty projects for you to tackle.
You
You're a programmer who likes working on a small team.
You want a 100% remote work-from-home job.
You've used .NET Core (5+), SQL, Blazor, and Azure DevOps in the last 24 hours.
You're comfortable doing front-end and back-end work.
You like working in an environment where your performance matters and you can make a big difference.
You're Ok with a three-month contract-to-hire situation.
The ""I read the posting"" bonus: Mention the word ""pineapple"" in your cover letter and we promise to send you a pre-interview email.
The Job
The company is based in Dallas, TX, but we’re 100% remote. This position is contract-to-hire, with a review 3 months in.
You’ll start by taking instruction from our software architect and advice from our current software developer. As you grow into the role assume responsibility for projects and features in our product suite.
Qualifications/Experience
C# .NET, preferably .NET Core 5+ – 5 years (Required)
MS SQL 2012+ – 5 years (Required)
CSS3 & HTML5 / UX - Can you set up flexbox and grid layouts? (Very Strongly Preferred)
Docker and an Orchestrator (K8s, Swarm, etc.) - (Strongly preferred)
HL7 experience - Have you parsed HL7 messages for at least one project - ideally several? (Strongly preferred)
PHP Experience – for porting (Desired)
Angular 2, React, or VueJS – (Encouraged)
GoLang Experience – for porting (Optional)
Work from home and/or remote work experience – the more the better (Strongly Preferred)
Full Job Description
Mid-Level / Senior Full Stack Developer

DFW-Based Medical software company is looking for a Full Stack Developer to join our small team. The position will be almost entirely remote, so you need a good internet connection. Periodic travel (conferences) may be needed.
Responsibilities will include but not limited to:
Develop and maintain applications using C# .NET 5+ and modern front end libraries.
Maintain legacy apps where possible and port to new architecture where not.
Modify existing and develop new features across a variety of medically related systems.
Required Skills
5+ years writing high performance, multi-tier, secure web apps
Strong software development discipline while still being flexible enough to do what’s needed in a pinch
Strong SQL skills in both Query and Schema design
Good understanding of REST without being dogmatic
Understand the value of documentation, and consistently put it into practice
Some experience with Microservice architecture (for legacy code)
Passing familiarity with GraphQL will be useful for porting
Must be self-driven and able to work independently. We'll give you everything you need to get a solid start and we're helpful team players, but we won't micromanage you
Education
Bachelor’s degree in computer related field or 6 years experience in addition to the qualifications and experience listed above
Company
Medical software company established in 2010. We have a variety of products that service stand alone Surgery Centers and offices
Etc

Pay: $100,000 - $120,000 DPE + medical/dental/vision + 401(k)

Job Type: Full-Time

Not providing VISA sponsorship for this job",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=2eafecc56bbfa2a3,Posted Today,Indeed,Contract
"Node.js Developer (Remote)
",cloudteam,"Jacksonville, FL 32256","Seeking a Mid-Level Node.js Developer for a 100% Remote position to develop Healthcare apps.
Tech Stack
Node.js
RESTful APIs
Backend Development Skills
JavaScript, CSS, HTML, ES6 and Material-UI design theme.
Agile development
Required experience
3-5 years of IT development/programming/coding professional work experience
Familiarity with code versioning tools.
Familiarity with RESTful APIs.
Strong backend development skills working with APIs and databases / SQL.
Experience with browser-based debugging and performance testing software.
Healthcare experience (preferred)",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=a9f96f11ea68072f,Posted Today,Indeed,Contract
"C++ Developer
",TeknoSpar,Remote,"Job Title: C++ Developer
Remote position.
Design, build and maintain efficient and reliable C++ code.
Maintenance and care of C++ code quality",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=a286269081c62708,Posted Today,Indeed,Contract
"Front end Developer
",Gazelle Global Consulting,Remote,"IT
CR/072760
Contract
My international leading company is urgently looking for a Front End Engineer.
Location: 100% remote from Europe
Duration: 6-12 months
Language: English
Rate: 400 Eur/day
Skills:
Experience of Implementing AEM with Slightly
Hands on Vue.js, Node JS, HTML5,CSS.
Knowledge on Jenkins ,Maven, Sonar, Git Bucket, Jira Tools.
Hands on AEM Templates and Components .
Review of Code and Design Knowledge
Slots are limited, interviews are starting in the coming days!
If you are interested in this position and would like to be considered send me your CV ASAP. If you know someone that may be interested in this position or considered a good fit please send me their details as soon as you can, so I can get in contact with them.
Job Reference: CR/072760
Salary:
Salary per: Day
Job Duration: 6-12 Months
Job Start Date: ASAP
Job Type: Contract
Job Industry: IT
Job Skill: CSS, Frontend Developer Vue.js, HTML5, Node.js

Contact Name: Anastasia Demciucena
Contact Email: adresponses@gazellegc.com
Contact Tel: +44(0)2035887706",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=da83ff9a77fa6e57,Posted Today,Indeed,Contract
"Front End or UI Engineer
",Avenue Code,Remote,"Avenue Code is the leading software consultancy focused on delivering end-to-end development solutions for digital transformation across every vertical. We’re privately held, profitable, and have been on a solid growth trajectory since day one. We care deeply about our clients, our partners, and our people. We prefer the word ‘partner’ over ‘vendor’, and our investment in professional relationships is a reflection of that philosophy. We pride ourselves on our technical acumen, our collaborative problem-solving ability, and the warm professionalism of our teams.
More than 3 years of working on diversity and inclusion strategies, Avenue Code still believes that recognizing the difference and promoting a safe place, job opportunities, representativeness, and support is the best way to make the social transformation happen. All job openings aim to promote employment and recognition of diversity pillars.
About the opportunity:
We are looking for a React Consultant to support our technical team. You will be working under an independent contract model, and the contract will be signed between you and Avenue Code. All alignments will be done directly with Avenue Code this way. This position is also fully remote, without the possibility of relocation or working onsite. This is an exclusive opportunity for Latam professionals (excluding Brazil).
Responsibilities:
Experience delivering intuitive UI experiences as scalable universal (isomorphic) applications
Deep knowledge of JavaScript
Strong React.js skills
Experience and dedication to deliver quality solutions through test-driven development and automated testing
Proven understanding of Agile development methodologies
Strong knowledge and hands-on with HTML, and CSS.
Required Qualifications:
Highly collaborative and engaging within a team environment
Ability to prepare and present potential technical solutions and advise product partners, team and stakeholders on approach and tradeoffs
Ability to champion major technical transformation initiatives within the organization
Nice to Have:
#Li-Remote",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=9a92402486c1b737,Posted Today,Indeed,Contract
"Angular Developer
",Value Info Tech,"Phoenix, AZ","Work Authorization
US Citizen
GC
H1B
L2 EAD, H4 EAD, TN EAD
Preferred Employment
Corp-Corp
W2-Permanent
W2-Contract
1099-Contract
Contract to Hire
Job Details
Experience
:
Senior
Rate/Salary ($)
:
DOE
Duration
:
12 Months
Sp. Area
:
JS, Front End, UI, UX, Web, CMS
Sp. Skills
:
AngularJS
Consulting / Contract
H1B OK
Third Party OK
Remote Work from Home
Required Skills :
AngularJS, Agile, JSON, Oracle, SCRUM
Preferred Skills :
Domain :

Job Description :
Advanced knowledge of web service technologies like JSON, RESTful services.
Must have on experience on Angular, NgRx. Experience Developing RESTful APIs
Experience working with Oracle Relational Database
Experience using Reactive Extension Library programming API
Experience using State Management libraries (NgRx)
Work as a multi-skilled professional practicing Agile/SCRUM methodology.",https://www.indeed.com/jobs?q=developer&l=United+States&sc=0kf%3Ajt%28contract%29%3B&vjk=8f9e07522a241bc9,Posted Today,Indeed,Contract
