job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type
Staff Full Stack Developer - Contract,"TalentBurst, Inc.","Chicago, IL","Pay Rate: 54.0-55.0 $/Hour
Position Title: Staff Full Stack Developer
Location: Chicago IL
Duration: Contract To Hire Position - 6 Months Plus

Job Description:
The growth and evolution of the power Transmission & Distribution (T&D) industry combined with the rapidly changing technological landscape presents significant opportunities to those companies that have the focus and foresight to take advantage of them. One area of focus for Burns & McDonnell (BMcD) is equipping our clients and workforce with superior data-driven decision-making capability. To that end, we have identified the need to establish a technology position focused on full stack software development.

The Full Stack Developer will be tasked with executing projects and leading engineering teams to tackle key data-driven technology initiatives. This position will report to the BMcD T&D Chicago Innovation and Development Manager and will work collaboratively with the national BMcD Innovation & Development team.
We are looking for a highly skilled computer programmer who is comfortable with both front and back-end programming. Responsibilities include participating in user interviews, developing, and designing front end web user interfaces from a composable architecture, integrating existing data sets and models, developing and maintaining semantically driven object ontologies, and ensuring the responsiveness of applications, among other duties.
This position will be required to see out a project from conception to final product, requiring excellent organizational skills and attention to detail.

JOB DUTIES
• Participation in user interviews to understand technical and customer needs.
• Developing front end website architecture based on Palantir Foundry.
• Designing user interactions on web pages within Palantir Foundry Workshop.
• Developing back-end website code logic that leverages semantic object linking (ontologies) within Palantir Foundry Code Workbook and Ontology Manager.
• Creating servers, databases, and datasets for functionality as needed.
• Ensuring health of data connections and pipelines (utilizing filesystem, JDBC, SFTP, and webhook).
• Ensuring conformance with security protocols and markings on sensitive data sets.
• Ensuring responsiveness of web applications developed on low code/no code solutions.
• Ensuring cross-platform optimization for mobile phones.
• Seeing through projects from conception to finished product.
• Meeting both technical and customer needs.
• Staying abreast of developments in web applications and programming languages.
• Lead other engineers to develop features on your projects.

Requirements:• Degree in computer science preferred or equivalent experience required (3-5 relevant experience).
• Strong organizational and project management skills.
• Proficiency with low-code/no-code tools, Palantir Foundry experience preferred.
• Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.
• Familiarity with JavaScript libraries such as Lodash, Math.js, Moment, Numeral, and es6-shim.
• Proficiency with server-side languages for structured data processing; Python, PySpark, Java, Apache Spark, and SparkSQL in particular.
• Familiarity with database technology such as MySQL, Oracle, MongoDB, and others.
• Familiarity with analytical tools for business intelligence and data science such as Power BI, Jupyter, and R Studio.
• Excellent verbal communication skills.
• Excellent problem-solving skills.
• Attention to detail.
• Team leadership experience preferred.

.
23293668",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Systems Engineer (DOORS/TeamCenter) (Military Defense),Softworld Inc,"Sterling Heights, MI","Systems Engineer (DOORS/TeamCenter) (Military Defense)
My name is Kyran Chavez and I'm a National Engineering Recruiter from Softworld Engineering.

My client in the Sterling Heights, MI area, is looking for A degreed engineer with Systems Requirements and Doors or Teamcenter experience.

If you're interested, please reply back with a resume and I'll reach back out to you.

Here is a link to my calendar to schedule a date and time that works for you.

https://calendly.com/softworld-chavez/15min

If you know anyone looking for work, I'd be happy to take great care of them.

Details
Mid-level Engineer, requirements management, generation, and integration of systems, DOORs or Teamcenter experience. GDLS is transitioning from DOORs to Teamcenter.

Kyran Chavez
781-373-8408
Delivery Manager at Pivotal Engineering - A Division of Softworld",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
REMOTE Senior Programmer Analyst (Systematics Experience required) - Contract,"TalentBurst, Inc.","Elgin, IL","Pay Rate: 65.0-65.0 $/Hour
Senior Programmer Analyst
There are 19 positions open
Remote
6 Months plus


Requirements

Experience with Systematics or TouchPoint Applications. The mainframe apps are Advanced Lending (AM), IMPACS (IM), Relationship Management (RM), and Saving Time (ST).
The experience with Systematics and TouchPoint needs within the last 10 years.
Strong COBOL and JCL Experience
Communication skills

Additional Skills:
Advanced professional role. Highly-skilled with extensive proficiency. Develops large and/or complex solutions that require analysis and research. Works on multiple projects as a project leader or frequently as the subject matter expert. Works on projects/issues of medium to high complexity that require demonstrated knowledge across multiple technical areas and business segments. Coaches and mentors more junior technical staff. Works under minimal supervision on complex projects. Wide latitude for independent judgment. Typically requires six or more years of demonstrated applications development experience with at least one project as the application development technical lead on a ""large project (i.e., a project with duration of more than 6,000 hours or spanning more than 4 months).
Additional skills:
Must have at least one of the following applications: Advanced Lending (ALS), IMPACS (DDA), Relationship Management (CIF), Savings Time (ST) experience.
Position requires at least 3 years of Systematics experience that is not over 10-12 years in the past. Strong communication skills, Strong COBOL experience and Strong JCL expertise.
23059920",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Senior Software Developer - OSB - Contract,"TalentBurst, Inc.","Quincy, MA","Pay Rate: 60.0-70.0 $/Hour

Position: Senior Software Developer
Location: Quincy, MA (Hybrid)
Duration: 3+Months Long Term Renewable Contract
Working Hours: 37.5/Hours Weekly

The web software developer is responsible for developing & supporting integration framework & services. The developer will work in close coordination with application, business teams and Vendors, coordinate deployments across Production and Non-Production environments through predefined process, be on a monthly On-Call schedule to support Production environment after business hours, and help business and application teams triage and resolve technical issues with middleware & infrastructure impacting their application.


DETAILED LIST OF JOB DUTIES AND RESPONSIBILITIES:
Enhance existing code base and provide Production support for OSB (Oracle Service Bus) and FTS (File Transfer Service) applications
Experience in implementing web service (SOAP, REST, WSDL and JAX-WS) integration solutions
Experience in configuration of Weblogic (11g, 12c) to support development, deployment of the OSB components, JMS, and web applications.
Develop Architectural Proofs of Concept to demonstrate practical business agile solutions and evolve core architectural constructs.
Support a common messaging framework based on MQ and OSB to exchange messages between applications across data centers hosted in MA State network (EOTSS) & AWS Cloud.
Prepare and document Unit Test results and deployment documents for code promotions.
Working knowledge of Development tools - SVN, Git, SQL Developer, SOAPUI, JMeter, and Log4J
Assist with project planning, design, development, and release management activities for various EHS shared service component developments and EHS application developments.
Participate in design reviews and identify potential mitigation strategies for technical risks.
Work with end users, development staff, system administrators, management, and staff from other organizations to ensure successful implementation and operation of application systems.
Coordinate and solicit vendor support as necessary.
Maintain the appropriate task lists, documents, design, and other artifacts in support of these services.

QUALIFICATIONS: Preferred Knowledge and Skills
Able to translate business requirements to technical specifications
Able to work independently and mentor other technical team members as needed
Excellent design, debugging, and problem-solving skills.
Excellent interpersonal, written, and verbal communication skills, Preferred: familiarity with AWS, IBM DataPower and/or Oracle OSB
Knowledge of cloud technologies (AWS) and integrating with on-premise applications.
Knowledge of new/cloud native tools for integration frameworks & services (AWS API Gateway, AWS MQ, Red Hat Integration)
Familiarity with TLS/SSL, digital encryption/signature, PKI system, Java Keystore


EDUCATION and EXPERIENCE:
Bachelor's degree in Information Technology, Computer Science, or a related field, or equivalent experience
6+ years of experience in software development
Experience with IBM MQ, ActiveMQ, JMS programming and securing queue manager/message broker, monitoring Queue, Remote MQ channel
23296550",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Software Engineer Consultant/Expert,Stefanini,"Dearborn, MI","Stefanini Group is hiring!
Stefanini is looking for Software Engineer Consultant/Expert at Remote Location
For quick apply, please reach out Pintu Singh
Phone: 248-936-0647
Email: pintukumar.singh@stefanini.com
Open to W2 candidates only!
Position Description:
1. Candidate should have excellent knowledge and expertise on Dynamics 365 CRM (Online with 365). Experience with Dynamics 365 Customer Service and portal development, Testing, Implementing, Debugging and Documenting the complex programs. 2. Candidate should have Solid skills in MS Windows/Office, Azure, Visual Studio, GitHub. 3. Proficiency in developing efficient Client-side scripting using Plug-In, Work Flows, Custom Business Processes and a fair level of knowledge in developing applications. 4. Candidate should have strong Analytical and Problem resolving abilities 5. Candidate should have strong ability to understand the technical and functional documents. He should be capable of creating a detailed technical documentation on various project assignments. 6. Candidate must be able to understand the business needs and convert them into software designs documents that will be used to develop software. 7. Ensures that all the standard requirements have been met and is involved in performing the technical analysis. 8. Prepare all test cases, test scenarios and execute them to provide. 9. Candidate must have good communication skills and should be able to work in global IT Teams / business customers . 10. The Candidate will need to face the European Stefanini business customers and should be able to understand the requirements.


Skills Required:
1. Good experience in MSD Development, support, issue resolutions 2. Expertise in managing global clients and new roll out to different markets. 3. Expertise in developing customized solutions 4. Application / system development lifecycle knowledge including design, development and integration experience 5. Working with PDO team / Agile methodology is desirable. 6. Strong communication skills, both verbal and written is a must.
Skills Preferred:
N/A
Experience Required:
- 5+ years of Dynamics CRM development experience including Portals. - 5+ years working with C#, JavaScript, HTML/CSS. - Power Platform experience (Power Apps, Power Automate etc.). - Demonstrated experience in developing effective business workflow processes. - Must be able to balance multiple and competing priorities. - Excellent communication and problem-solving skills. - Must have experience working in a fast-paced environment using an agile project management methodology.
Experience Preferred:
- Excellent stakeholder management, communication and executive presentation skills - Provide subject matter expertise to customers including technologies and implementation methodologies to successfully implement Dynamics CRM solutions. - Knowledge of competing products / solutions and industry trends.
Education Required:
Bachelors degree
Listed Salary Range may vary based on experience, qualifications, and local market, Also some positions may Include bonuses and other Incentives
About Stefanini Group
The Stefanini Group is a global provider of offshore, onshore and near shore outsourcing, IT digital consulting, systems integration, application and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is in countries like Americas, Europe, Africa and Asia, and more than 400 clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting, company with global presence. We are CMM Level 5 company.",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Sr. D365 F&O Developer,INSPYR Solutions,"Deerfield Beach, FL","Title: Sr. D365 F&O Developer
Location: Deerfield Beach, FL (Hybrid)
Duration: 12 Months
Compensation: $70.00 to $90.00 Hourly
Work Requirements: US Citizen, GC Holders or Authorized to Work in the US

Qualifications:
Strong experience in developing and customizing D365 F&O solutions, including experience
with the X++ programming language (Must)
Familiarity with Microsoft SQL Server and SQL development
Experience with Azure DevOps, Visual Studio, and source control management systems
Excellent problem-solving and analytical skills
Ability to work independently and as part of a team in a fast-paced environment.
Strong communication and collaboration skills to work with project stakeholders and team
members at all levels.
Experience with agile development methodologies is a plus.
Development - advanced knowledge in multiple of the following:
Microsoft Dynamics 365 F&O Programming language X++ (Must)
Create/Modify Extension (Classes, Table, Form, Query etc.)
Integration service (DMF, OData, Custom Service, Webservice, Biztalk)
Microsoft Visual Studio
Microsoft .NET C# and key frameworks
Experience with Microsoft Azure Platform (Azure Service Bus, Logic App, PowerApps,
Event Hub, Power Automate, etc.)
Power-BI Reporting, Azure Data Lake.
Azure DevOps
Agile Methodology & Knowledge
Familiar with all phases of D365 F&O software development life cycle using a
combination of Azure DevOps and LCS.
Message Services (SOAP / REST, XML, JSON, EDI)
HTML 5 / Responsive Design
Azure SQL Server, SQL Server, Oracle, Teradata, Azure Data Lake, MongoDB, CosmoDB
Messaging technologies
Cloud Knowledge (Azure/AWS)
Version Control (Azure DevOps, GitHub, TFS)
API technologies
Test Driven Development
Understanding of SCLC processes
Must have experience with delivering cloud-based solutions (private and public)
Troubleshooting skills - advanced level required to troubleshoot the solution across both
software / infrastructure components.
Domain Knowledge in Software Development, Software Design
Must have experience / background with systems integration.
Bachelor's degree in business or Information Systems required.
Have 5+ years application development experience.
Must be able to assist / coordinate on vendor management activities.
Must have proven track record of out-of-the-box thinking.
Effective written and verbal communication skills and excellent interpersonal skills are required

Responsibilities:
Participate in code reviews, testing, and documentation activities.
Develop, customize, and implement D365 solutions to meet business requirements.
Work with project stakeholders to gather and analyze business requirements and translate
them into technical design specifications.
Create technical design documents, code, test, debug, and deploy D365 solutions.
Collaborate with other developers, technical leads, and project managers to ensure that D365
solutions are delivered on time and to specifications.
Provide technical support and troubleshoot D365 solutions when issues arise.
Stay up to date with the latest D365 features and technologies to provide innovative solutions
to customers.
Leads the detailed design of multiple technologies under the guidance of Delivery Architect
Produces design and development of software solutions based upon requirements, high level
design, guiding principles and patterns.
Design and development of new systems with an emphasis on minimized maintenance
requirements, as well as maintenance and enhancement of existing systems
Evaluates business requirements and high-level designs for delivering proper solutions.
Systems analysis design and debugging of new systems / integrations.
Escalation issues / options / risks / awareness and facilitates technical sessions / issue
resolution.
Skilled with knowledge transfers / handoffs (e.g., support transition / knowledge)
Ability to support / troubleshoot complex integrations and data.
Ability to program for support activities / small enhancements and support of project.
Proactively learn and utilize new technologies, concepts, and procedures as appropriate to
project requirements.
Ability to work with geographically dispersed teams.
Reviews technical designs from vendors for Company solutions / systems.
Assisting with reviewing the plans and monitoring the execution of testing
Stays informed of current industry trends and emerging technologies and keeps skills current
on modern technologies and tools.

Our benefits package includes:
Comprehensive medical benefits
Competitive pay, 401(k)
Retirement plan
…and much more!

About INSPYR Solutions:

TekPartners and Genuent are becoming INSPYR Solutions. As a leading information technology partner, we connect top IT talent with our clients to provide innovative business solutions through our IT Staffing, Professional Services, and Infrastructure Solutions divisions. We understand and value the unique needs of highly-skilled information technology professionals in the industry and always strive to stay above the curve. Our company was founded on the following core values: Be the Best, Understand the Urgency, Never Ever Give Up, Have the Courage to Excel, and Make a Contribution. We take pride in our business model and strive to create a positive workplace environment through an exemplary culture.

INSPYR Solutions provides Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, INSPYR complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Signal and Image Processing Engineer (Aerospace Defense),Softworld Inc,"Lexington, MA","Signal and Image Processing Engineer - Sonar
3 year contract
Lexington MA
Active Secret Clearance REQUIRED

Group Description:
The BMDS Integration Group supports the Missile Defense Agency in the development, deployment, testing, and enhancement of the Ballistic Missile Defense System. This Group performs detailed system and component engineering, flight and ground test analysis, and advanced capability development in collaboration with the contractors and government program offices that are building the missile defense elements and components.
Summary of Position:
Researches, designs, develops and verifies signal and image collection systems, and defines and develops processing and dissemination computer algorithms. Develops requirements analysis, system architecture, and integrates new signal and image capture and processing technology systems. Designs, develops and analyzes systems for the extraction of information from sensors. Systems utilization includes implementation of signal and image processing with advanced computer architectures.
The Group is need of a Signal and Image Processing Engineer to support the analysis of radar data in order to understand the real world ballistic missile threat as well as to evaluate missile defense system performance following flight tests.
Responsibilities include but are not limited to:
Analyze metric and signature radar data from a wide variety of high-power, high resolution radar Sensors perform data processing and analysis as well as prepare data deliverables for missions conducted in support of the Missile Defense System (MDS) development
Author mission summary reports and evaluate sensor performance; regularly contribute material to sponsor briefings and conference papers.
The ideal candidate will ensure that the data is exploited for maximum impact for the continuing development of the MDS.
Required Skills
Significant experience in MATLAB is required 5 plus years and at least 2+ year(s) of experience using MATLAB for data analysis
Experience with Linux operating systems
Candidates should be well versed in standard signal processing techniques (Fourier transforms, filters, etc).
Ability to work well independently as well as with a team
Must possess excellent communication skills
Desired Skills
Experience or background in RF analysis of ballistic missiles is highly desired",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Senior Software Engineer,Genesis10,"Eagan, MN","Genesis10 is seeking a Senior Software Engineer for a contract with our client in Eagan, MN.  100% Remote.

Senior Software Engineer:
Acts as a hands-on software engineer who can write quality code, assists with problem solving, root cause analysis, trouble shooting and coaching.
Understands big picture from a business standpoint within the context of the application.
Agile, DevOPS and Cloud:
Applies Design Thinking techniques on application design.
Understands advanced concepts of Containers, Micro-Services, Continuous Delivery and Continuous integration, and guide the team to setup a DevOps environment for the applications they build and support.
Designs and develops highly scalable applications in AWS cloud using tools like Cloud Formation Templates, EC2, SWF, ELB, Lambda, S3, RDS/Dynamo DB and others.
Reviews and takes actions based on application metrics, including but not limited to code quality, business metrics and performance metrics.
Creates load and performance testing strategy and perform advanced performance tuning.
Additional Job Description:
Looking for a Senior Software Engineer/.NET Developer with strong .NET development experience. AWS and DevOps experience a large plus as well. This is working in an Agile environment.

Key Skills:
Must have .NET Core experience
Framework experience-Angular preferred
Experience with Agile
Strong SQL server
Cloud experience-AWS preferred
Data configuration and heavy scripting to support production goals
SQL Stored Procedure experience-A lot of SQL scripts

Other Skills:
CI/CD, DevOps, Blazor

Additional Tools:
Jira
GitHub
Jenkins
Visual Studio

Compensation:
Hourly W2 pay rate $90.00 - $105.00
We have access to additional contract, contract-to-hire, and direct hire positions with various rate ranges. 

If you have the described qualifications and are interested in this exciting opportunity, apply today!

Ranked a Top Staffing Firm in the U.S. by Staffing Industry Analysts for six consecutive years, Genesis10 puts thousands
of consultants and employees to work across the United States every year in contract, contract-for-hire, and permanent
placement roles. With more than 300 active clients, Genesis10 provides access to many of the Fortune 100 firms and a
variety of mid-market organizations across the full spectrum of industry verticals.

For contract roles, Genesis10 offers the benefits listed below. If this is a perm-placement opportunity, our recruiter can talk
you through the unique benefits offered for that particular client.

Benefits of Working with Genesis10:
Access to hundreds of clients, most who have been working with Genesis10 for 5-20+ years.
The opportunity to have a career-home in Genesis10; many of our consultants have been working exclusively with Genesis10 for years.
Access to an experienced, caring recruiting team (more than 7 years of experience, on average.)
Behavioral Health Platform
Medical, Dental, Vision
Health Savings Account
Voluntary Hospital Indemnity (Critical Illness & Accident)
Voluntary Term Life Insurance
401K
Sick Pay (for applicable states/municipalities)
Commuter Benefits (Dallas, NYC, SF)
Remote opportunities available

For multiple years running, Genesis10 has been recognized as a Top Staffing Firm in the U.S., as a Best Company for
Work-Life Balance, as a Best Company for Career Growth, for Diversity, and for Leadership, amongst others. To learn
more and to view all our available career opportunities, please visit us at our website.

Genesis10 is an Equal Opportunity Employer. Candidates will receive consideration without regard to their race, color,
religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Sr. Full Stack Developer,Softworld Inc,"Montgomery, AL","Sr. Full Stack Developer
The Information Technology Software Engineer oversees application development, modification, and maintenance of applications. This position monitors system applications, ensures systems run smoothly, and creates reports and other documentation outlining findings/solutions.
Primary Responsibilities:
Oversees development and installation of new hardware and software
Installs and configures systems and other software
Tests installed software for malfunction detection
Identifies and resolves business systems issues
Designs and deploys new applications and enhancements to existing applications, software, and operation systems
Measures effectiveness and efficiency of existing systems
Develops and implements strategies to improve systems
Monitors and tests system performance
Typically has full ownership of a process
May act as a procedural expert
Requirements:
Bachelor's degree in a related field
Seven (7) years of experience
Must have:
Full stack development
RESTFUL API
Microservices
C# and .NET
.NET Core
OOD and development - architectural skills would be helpful
Leadership xp would be great - opportunity for promotion into leadership
MS SQL Server
They use a web based front end component - they utilize React, but no specific front end tool is required
Containerization/Openshift/Docker/Kubernetes etc
This is almost 90% backend development, 10% front end
Nice to have:
Mulesoft or other API platforms
Harness and Bamboo
MQueue or any message queue system like Kafka
This position is exempt from timekeeping requirements under the Fair Labor Standards Act and is not eligible for overtime pay.
THIRD PARTY AGENCIES, SUBCONTRACTORS, AND RECRUITERS NEED NOT APPLY. Applicants received from firms will not be considered. Subcontracting is not available for this position.",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
Salesforce Developer,Innova Solutions,"Alpharetta, GA","Our client, a multinational investment firm, is searching for a Salesforce Developer. This is a contract role, where employees are required onsite 3 days per week. The full job description is as follows:
 Contract Duration: 1+ years renewable
Location: Atlanta, GA
 Overview on Wealth Management:
Wealth Management and Investment Management Technology (WMIMT) is responsible for the design, development, delivery, and support of the technical platform behind the products and services used by the Business. Its core client base is individual investors, small- to medium-size businesses and institutions, and high net worth families and individuals.
 The position is part of the Wealth Management - CRM & Digital Marketing Tech group. There is a multi-year Platform Integration Initiative, for which we are hiring resources that are going to help us to build applications which offer lot of new capabilities to our end users. These applications are built using new design, latest web standards with modern technologies and we need resources to support current platform for BAU activities and at the same to build the new platform. We are also expanding to offer some of the core capabilities in our mobile platform as well.
 We are putting lot of investment in architecture, design and some of the best practices in coding to ensure we deliver high quality products and want to make sure we retain the knowledge and experience. As we are investing a lot to build our future platform, it is important to invest on our resources that will have knowledgebase and experience.
 Role & Responsibilities:
We are seeking a Salesforce Developer with a minimum of 7-10 years of work experience in designing, developing, testing and deployment of CRM solutions on the salesforce platform.
The developer will work with the distributed team and will be responsible for designing and implementing end to end solutions and integrate with the in-house platform and infrastructure.
Work with development lead and architecture team in understanding the requirements, designing and implementing the solution.
As a passionate hands-on programmer spend most of the time in coding and delivering quality code.
Write quality test cases.
Participate in design review and peer code review.
Understand the build and deployment process and be a go to person for troubleshooting live issues.
Work collaboratively in a global setting, should be eager to learn new technologies.
Key aspects of the role –
Work with business partners to understand the processes and requirements.
Hands on development on the salesforce platform – enhance custom objects, develop Visual Force pages, APEX classes, defining workflows and SOQL.
Follow SDLC processes for development, testing and deployment.
Manage SFDC configurations and customizations.
Primary Skills / Must have
Senior level candidate with 7-10 Years of experience in following technologies
Candidate must have hands-on and in-depth knowledge of Visual Force (Page, Components and Controllers), configurations, Apex Web Services and APIs, Workflows, Rules and defining custom objects and Pages.
Candidate should have knowledge of tools used for build and deployment.
The candidate should have strong communication skills.
Strong problem solving and analytical skills.
Secondary Skills / Desired skills
Good to have experience in the Financial Industry.
Working knowledge of Lightning and building custom Lightning components.
Working knowledge of Java/ J2ee or C# .NET
Good to have knowledge of RDBMS concepts and should have hands-on knowledge of any one database development.
Good to have familiarity with Agile Methodology, Test-Driven Development and software design patterns.",https://www.monster.com/job-openings/staff-full-stack-developer-contract-chicago-il--f568cd8c-8c85-4c8c-83de-1e7a2b5c985c?sid=3b9ee619-3d76-4777-a515-7cc8b1ac9285&jvo=m.k.sc.1&so=m.s.sh&hidesmr=1&promoted=KEVEL,Today,Monster,Contract
