job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type
Angular Developer - Remote,OPENMIND TECHNOLOGIES INC ,Remote,"Details:
This position is an excellent opportunity for an experienced Angular Developer leading the work for one of our top clients.
Perform tests on user interface elements to ensure proper functionality.
This position requires 9+ years of experience with a solid understanding of UI development fundamentals.
This role requires expert proficiency in the following languages/tools/frameworks/libraries: TypeScript, JavaScript, SASS/CSS, HTML, Git, Angular 8+.
Must be able to operate efficiently in an Agile and Scrum environment.
Must understand product specifications and user mindset and predict what might work for both.
Job Types: Full-time, Contract
Salary: $62.00 - $70.00 per hour
Experience level:
9 years
Schedule:
8 hour shift
Day shift
Monday to Friday
Experience:
UI development: 9 years (Preferred)
Perform tests on user interface elements: 8 years (Preferred)
Angular 8+: 2 years (Preferred)
TypeScript, JavaScript: 1 year (Preferred)
SASS/CSS, HTML, Git: 1 year (Preferred)
Agile and Scrum environment: 1 year (Preferred)
Work Location: Remote",https://www.simplyhired.com/job/4GKwa2iepGKz0WGY8Wgi5XJTTaZWR-_toEQnEv2xFz2Blr6qfNGQKw?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-8d3296f5830cf7f4-,5 hours ago,Simply Hired,Contract
SAP MM Developer with Fluent in Spanish - Remote,Cystems Logic Inc,"San Francisco, CA","Job Description

Hello,

This is a long duration contract project.

If you are interested in the below job opening,

Please send your updated resume with the details below.....Asap

Your current location:
Visa status:
Availability:
we need SAP MM Developer with Fluent in English and Spanish language.

Remotely

8 years Sap MM experience.

Fluent in English and Spanish language.

Electronic invoice and other Compliance mandated.

Consultants need to know what has to be done.

This is for an SAP rollout in the Chilean location.

Additional Information

All your information will be kept confidential according to EEO guidelines.",https://www.simplyhired.com/job/2JpiVlGwa6Z1S83F3pthJzbhz1p3baT0dRbWOxysXvv-ORhgvuJ-4g?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-1f772d8d87609e16-,1 hour ago,Simply Hired,Contract
Python Developer,Exodus Integrity Services ,"Cleveland, OH","Exodus Integrity Services, Inc is a rapidly expanding technology company headquartered in Northeast Ohio. EIS provides quality services to our clients by instilling honesty, commitment, and hard work to find the most qualified candidates to fill each opportunity. Currently, we are seeking individuals to fill a Python Developer opportunity for our client in Cleveland, OH. This is a very exciting opportunity working with one of the top employers in the area. If you are interested in joining a vibrant organization where you are valued and rewarded for your contributions, and you possess the qualifications listed below, please forward your resume and salary requirements.

No 3rd parties. Candidate MUST be W2 employee of Exodus Integrity Services, Inc.

This opportunity is 100% remote! Candidate MUST reside in the United States.

The ideal candidate will have at least 6 years of related work experience.

Responsibilities:
Collaboration with project team and business customers
Support to business customers
Attending meetings
Troubleshooting, diagnosing and problem-solving skills
Organizational skills
Listening, verbal and written communications skills

Required Skills:
App dev experience with Python and Web APIs
Experience with Docker, Podman, or other similar container technologies
Comfortable with git and a git based host system, GitHub or similar
Experience working in environments that leverage CICD
Experience with Artifactory or a similar artifact management tool

Preferred Skills:
Experience with Kubernetes, OpenShift preferred
Familiarity with FastAPI, is a plus
Experience with Streamlit is a plus
Experience with OpenStack, especially the Python SDK, is a plus
Knowledge of Active Directory, especially the Python MSAL library, is a plus

About EIS:
Since 1997, Exodus Integrity Services, Inc. (EIS) has brought hundreds of companies and thousands of talented IT professionals together. With over 120 years of combined industry and functional experience, the EIS team takes a consultative approach to identify client objectives and create practical initiatives that solve problems quickly and efficiently. We specialize in Consulting Solutions, Contingent and Direct Workforce Staffing, and Healthcare IT Solutions.

EIS is an equal opportunity employer. In accordance with anti-discrimination law, it is the purpose of this policy to effectuate these principles and mandates. EIS prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. EIS conforms to the spirit as well as to the letter of all applicable laws and regulations.",https://www.simplyhired.com/job/r_5mp7ZjBqt83mI3P_7pTaVCgbBSa8pUofKJbxlkCf9anZ9alwsWjQ?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-fadca606b31c6c43-,5 hours ago,Simply Hired,Contract
AWS Application Developer,Vivo,California,"Our client, a global technology company, is looking for an AWS Application Developer to join its team to help design and build the client s Virtual Trainer solution. This person will have the opportunity to work with emerging technologies like XR, AI and ML. This is a short term contract opportunity that can work from anywhere within the US. For the right person, we will consider part-time individuals.
Responsibilities
Develop a front end studio tool, that integrates with existing AWS Services, to facilitate a self-service portal for the client s Virtual Trainer
Update the code base to support XML native tags
Update the solution architecture to support AWS State Machine/Step Functions
Debug, troubleshoot and fix any existing known bugs
Explore emerging technologies and capabilities e.g. ChatGPT, to integrate into the solution
Look at other AI/ML opportunities e.g. image recognition, to further expand the solution set
Requirements
Application development experience
Experience working within CI/CD (AWS CodeCommit/Code Pipeline) and Agile development methodologies
Experience with Node.JS and Typescript
Amazon AWS development experience (cloud formation templates, codecommit/codepipeline, Lambda, state machine/step functions)
Nice to have
AI/ML development experience
Kubernetes and Container application architectures
API development
Unity
About Vivo

Having been in business since 2006, Vivo is a full-service recruiting and consulting company, specializing on mid to senior level technology resources. Our brand promise is simple: we get people. We get that our clients don t want to waste time, and that our candidates and employees thrive when given honest feedback and an opportunity to grow.

Whether you re onsite at our Pleasanton headquarters or working for one of Vivo s clients the best brand names out there our promise to you is unwavering: we will treat you like you are our most important employee.

Do you think you get people get what they really need, and get how to deliver? We re not perfect but we re accountable. We re not in 32 countries, but we are in the heart of it all. So, if you are looking for a flexible, fun and high-energy work environment, along with the opportunity to work with some of the world s technology leaders, we can t wait to talk to you.

Vivo We Get People!",https://www.simplyhired.com/job/UJXH_VPXG5d6c1JDXXOgamkElHjnc94hNjzDR3CPIl7JsPxGJaOJgA?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-95232692f7b3ebc2-,3 hours ago,Simply Hired,Contract
MIS Application Support Developer,NextRow Digital ,Mississippi,"This is a remote position.

100% remote job. 8am-5pm CST, long term state contract.

Looking for an experienced application developer with a minimum of 5 years experience working with

Natural/Adabas. In this position, the developer will work to develop and maintain applications, develop and implement

batch jobs per the stakeholders requirements, and work on the designing and implementation of application

enhancements and solutions. The developer will be required to participate on development team on-call rotation to

provide after hours support for specific batch jobs that run during specific days/nights. The developer must speak fluent

English and have good verbal communications skills. Developer must be strong in problem solving technical issues and

work closely with end-users/clients/stakeholders to design and implement solutions to meet the Agencies objectives.

The devloper must have demonstrative experience applying concepts of Software Development Life Cycle including

System Design, Analysis, Coding, QA Testing, Implementation, Documentation, and Maintenance.

Minimum 5 years technical experience in:
Natural/Adabas

Software AG Designer, Version 9 or higher

SCL for Linux

SDLC

WebMethods Active Transfer

Cyber Fusion

Mainframe TSO and JCL

Cronus Mainframe to Linux tools, EspBatch and EspControl

Natural Construct

Preferred Skills:
Linux 3.1 or higher

SCL 3.1 or higher",https://www.simplyhired.com/job/c3Ah0WPasb3S_1Nj5t8XWlWzbzkh348td-ZU3BY7hsU_aiwN8NJM3Q?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-3dba419fb563fe38-,2 hours ago,Simply Hired,Contract
Application Developer,Telnet Inc ,Florida,"Title: SaaS Developer (Remote, with rare onsite visits)
Work authorization: any (candidate must be authorized to work in US)
Must-have skills:
3+ y of exp working Visual Vault SaaS product
PREFERRED :
OITS
Location: Tallahassee, FL
Client: Florida Department of Children and Families - FDCF
Rate: please send resumes of your consultants along with their minimum rate they will accept to take (and stay) on this position.
Remote or onsite: Remote, with rare onsite visits
Type: long-term contract
Duration: 12+ months with possible extensions
Additional information: The candidate should be able to provide an ID if the interview is requested, to guarantee the Client that the candidate submitted, interviewing and showing up for work is one and the same

Requirements:
• Availability to work during onsite visits at the Client’s site in Tallahassee, FL (required);
• Experience working with the Visual Vault SaaS product;
• Experience with establishing and maintaining business process workflows;
• Experience constructing effective test plans and test cases;
• Experience writing technical documentation;
• Experience with OITS applications, infrastructure, and general business principles, practices, and procedures;
• Bachelor’s Degree in Computer Science, Information Systems, Business Administration, or other related field. Or equivalent work experience.

Responsibilities include but are not limited to the following:
• Analyzing defined business rules and functional requirements;
• Updating system documentation to ensure it reflects the current system version;
• Evaluating enhancement requests and providing estimates;
• Designing, coding, testing, and implementing technical solutions using the Visual Vault SaaS product;
• Creating test plans and test scripts to verify system modifications are error-free and perform as designed;
• Facilitating user acceptance testing;
• Documenting the results testing activities;
• Coordinating with department and Visual Vault staff to deploy software updates.",https://www.simplyhired.com/job/5nmVK2WPf3O6gIwP_6N6Xd0DNCqxMfVWcTQKA6rgaHPn2prL44ijTQ?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-b794d73fcb6fa52f-,3 hours ago,Simply Hired,Contract
"Backend java developer- fremont, phx, charlotte (W2)",Phasorsoft LLC,"Phoenix, AZ","responsibilities:
Lead complex technology initiatives including those that are companywide with broad impact. Act as a key participant in developing standards and companywide best practices for engineering complex and large scale technology solutions for technology engineering disciplines. Design, code, test, debug, and document for projects and programs. Review and analyze complex, large-scale technology solutions for tactical and strategic business objectives, enterprise technological environment, and technical challenges that require in-depth evaluation of multiple factors, including intangibles or unprecedented technical factors. Make decisions in developing standard and companywide best practices for engineering and technology solutions requiring understanding of industry best practices and new technologies, influencing and leading technology team to meet deliverables and drive new initiatives. Collaborate and consult with key technical experts, senior technology team, and external industry groups to resolve complex technical issues and achieve goals. Lead projects, teams, or serve as a peer mentor. Required Qualifications: 5+ years of Software Engineering experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, or education.
qualifications:
Experience level: Experienced
Minimum 5 years of experience
Education: Bachelors
skills:
BACKEND
Java
JAVA DEVELOPER
kafka
microservices
Job Type: Contract
Pay: $70,633.50 - $184,047.38 per year
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Phoenix, AZ 85003: Reliably commute or planning to relocate before starting work (Required)
Experience:
AWS: 1 year (Preferred)
ASP.NET: 1 year (Preferred)
APIs: 1 year (Preferred)
Work Location: In person",https://www.simplyhired.com/job/0IZ9OaW-1PzCJpaiBdfjlOw_8wC3pywWWZDCF9zY6IyBYmkfa8m6zA?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-60e37e2c1cb5ca62-,1 hour ago,Simply Hired,Contract
Software Development Engineer,Qualified Recruiter Pvt Ltd,"Omaha, NE","MUST BE A US CITIZEN OR A GREEN CARD HOLDER ONLY.
Experience with SSMS - SQL Server Management Studio.
JAVA or .Net programming experience.
Experience with Visual Studio (C#, MVC, JavaScript, React, SQL, Build/Compile programs).
Job Type: Contract
Salary: $55.00 - $65.00 per hour
Benefits:
401(k)
Health insurance
Schedule:
Monday to Friday
Ability to commute/relocate:
Omaha, NE 68106: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
How many years of experience do you have with C#?
Are you a US Citizen or a Green Card holder?
Experience:
SQL Server Management Studio: 4 years (Required)
.NET: 5 years (Required)
Work Location: One location",https://www.simplyhired.com/job/s6PkhHP3lyqz8a-S7tMdQM3mGpjj__4IWdOpZS7_cLn0RA2OFN6R4w?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-8fbe2b1866cd57cb-,5 hours ago,Simply Hired,Contract
Design Release Engineer,Optimal Inc.,"Auburn Hills, MI","Job Description:
The Design and Release Engineer will be responsible for developing components/systems from initial design concept through full volume production. The Design and Release Engineer will provide feasibility input for development of designs from Product Design Office (PDO) concepts, sketch, and clay models. Establish and manage development timeline for life of project. Develop functional objectives, build objectives, DVPR, and DFMEA for components. The Engineer will lead design, while leveraging external design source and/or internal CAD design resource. The Engineer will be responsible for the release of completed component geometry using Teamcenter/NX CAD tools. Validate virtual designs using CAE resources and perform physical validation via component, system, and vehicle level testing. Manage internal documentation for release of systems. Plan and oversee tool construction and production of assemblies. On-site support for vehicle pilot builds and production launch at assembly plant. Responsible for root cause analysis and determination of corrective action for issues with assembly, fit/finish, and functional performance. Analyze and remediate warranty, identify cost reduction opportunities on production of systems, candidate will also be responsible for safety compliance report documents.
Requirements:
**HYBRID ROLE. LOOKING FOR LOCAL CANDIDATES**
Bachelor's or Master's Degree in Mechanical, Automotive, or Electrical Engineering or equivalent from an ABET (Accreditation Board for Engineering and Technology) accredited program
Strong interest in automotive industry.
Strong written and oral communication skills
Strong leadership and interpersonal skills
Ability to work in a team environment
Computer proficient (including spreadsheet, word processing, presentation and database applications)
Preferred Qualifications:
Chassis Suspension design/release experience (Min 1 year)
Microsoft Word Excel PowerPoint UGNX7.5
Previous experience with an Automotive Manufacturer",https://www.simplyhired.com/job/oRN7WY3JY7Lk7bUjTI6a5CpZzwxHGkiU3muLzsl9kfC0C25ejzC_6Q?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-6c80326931ab9d16-,2 hours ago,Simply Hired,Contract
Azure Developer/ Architect,FalconSmartIT,"Dover, DE","Job Title: Azure Developer/ Architect
Location: Remote
Job Type: Contract


Job Description:
A full stack architect / developer with primary skills - App Deployment experience, Service Fabric, and Azure DevOps is responsible for developing, deploying, and managing applications and services on the Azure cloud platform.
The primary responsibilities of this role may include:
Designing, developing, testing, and deploying cloud-based applications and services using Azure technologies, including Service Fabric.
Collaborating with cross-functional teams, such as DevOps engineers, architects, and business stakeholders, to design and implement solutions that meet business requirements.
Developing and maintaining continuous integration and delivery pipelines using Azure DevOps, Git, and other DevOps tools.
Ensuring the reliability, scalability, and security of applications and services deployed on Azure.
Troubleshooting and resolving issues related to application and service deployment and management on Azure.
Working with Azure Resource Manager templates and PowerShell to automate deployments and manage Azure resources.
Configuring and managing Azure services, such as Azure App Service, Azure SQL Database, Azure Storage, and Azure Service Bus.
Creating and maintaining technical documentation, including design documents, deployment guides, and runbooks.
Keeping up-to-date with the latest Azure technologies and best practices and recommending improvements to existing processes and workflows.
Mentoring and coaching junior developers and other team members on Azure development and deployment best practices.
The ideal candidate for this role should have:
Experience developing and deploying applications and services on the Azure platform, including Service Fabric.
Strong experience with Azure DevOps, Git, and other DevOps tools.
Knowledge of continuous integration and delivery pipelines, and how to automate deployment workflows.
Experience configuring and managing Azure services, such as Azure App Service, Azure SQL Database, Azure Storage, and Azure Service Bus.
Understanding of Azure Resource Manager templates and PowerShell.
Good understanding of software development best practices, including Agile development methodologies.
Excellent troubleshooting and problem-solving skills.
Strong written and verbal communication skills, with the ability to communicate technical concepts to both technical and non-technical stakeholders.
Experience working in a collaborative team environment.
A bachelor's degree in Computer Science, Information Technology, or a related field is preferred.
Knowledge of database is plus",https://www.simplyhired.com/job/niIRZu_GUHnjITH_99gCXkNP6LoXRW_xV3JTvjJMFOdmgAMy7LnqMQ?jobCardTrackingKey=3-0-1gsm24mrsp6cr801-1gsm24ms3i4ml800-f0224475db55b25a-,5 hours ago,Simply Hired,Contract
