job_title,company_name,job_source,address,job_type,job_source_url,job_description,job_posted_date
Laser Programmer,CFA Laser,Ziprecruiter,"Milford, CT",Contract,https://www.ziprecruiter.com/k/l/AAKKRWMMH2DYvIaC0o26kP9B5Q_R8GvSxIh4qNzkokk9AzJq6Wd4Y1U_ZL67GFUPMEms5ADjLICvBzlnFsrE52eP1_SNrTNdTSAMByzQ4gVvcZ4qjqkrIfRVRdbP3LSohdtCp_kcK1EsC3IEMxKibQ43yt6Y-V9OzDAtMU2jGNfEqjzLWxisusucBGFFDbgGURQrwA?pageType=perl_serp,"We are currently seeking a skilled Offline Laser Programmer to join our growing team. The ideal candidate will have experience programming Amada fiber laser cutting machines, a keen eye for detail, and a strong commitment to quality. In this role, you will play a critical part in ensuring that our clients' designs are accurately translated into precise, laser-cut parts and pieces.
Responsibilities:
Program Amada laser cutting machines using offline programming software.
Review client design files and specifications, ensuring that they meet production requirements and quality standards.
Optimize cutting patterns and parameters to maximize material utilization, speed, and efficiency.
Collaborate with the production team to address any programming or production-related issues.
Perform quality checks on completed projects to ensure accuracy and adherence to client specifications.
Continuously improve programming techniques and processes to enhance productivity and quality.
Maintain and update laser cutting equipment and software as needed.
Adhere to safety guidelines and procedures to ensure a safe working environment.
Requirements:
Proven experience programming Amada laser cutting machines using offline software, such as AP100, Dr. ABE Blank, or VPSS 3i
Strong knowledge of laser cutting principles, machine capabilities, and material properties.
Excellent attention to detail and commitment to quality.
Ability to read and interpret technical drawings and specifications.
Proficient in CAD software and Microsoft Office applications.
Strong problem-solving skills and the ability to work well under pressure.
Excellent communication and interpersonal skills, with a focus on teamwork and collaboration.
A commitment to the core values of CFA, including creativity, innovation, and customer satisfaction.",13 hours ago
Field Service Engineer,Volt,Ziprecruiter,"Dayton, OH",Contract,https://www.ziprecruiter.com/k/l/AAK1xop7irYvbHWWCSg_jJEkU4p-F289JZrIJbqZUFUoAnC5DXwXMX3JoChmCwddI9Z6lFis7BmkeZqJJ1ska_uV91Yu6P-MHc3SHdXIjCUtEu-Xdr1uLPRTw9_W5Q3udCowef5InGvXQIOa20kJnlgJMV2Rbxi-iHVdjMJMmactqZxjN6oNoatGOQ0nqr-l20FK1g?pageType=perl_serp,"You deserve a job you love

Volt is immediately hiring for Field Service Engineer in Dayton, OH.

As a Field Service Engineer, you will:
Troubleshooting, installation, maintenance, and repair of components.
Performing tests to determine root cause of failures.
Completing preventative maintenance and field modifications.
Analyze technical issues and propose remedies.
Examine defects and remove them if necessary.
Maintain proper and regular communication with clients to ensure all issues are properly addressed.
Preparation and implementation of customer trainings
In case of warranty, clarify the causes, determine the scope of repair and present a recommendation for a decision.
Create commissioning and service documentations.
Guiding and instruction of employees, monitoring workmanship. Check work results.
Ensure compliance of safety regulations.
Keeping up to date administrative records.

This is a full time opportunity.

The ideal candidate will have:
Bachelor's degree in Electrical Engineering or Mechanical Engineering is required.
Must be detail oriented.
Must possess good English language communication, verbal and written.
Must possess good interpersonal skills and work well in a team setting as well as independently.
Must be able to cooperate and coordinate with customers.
Must be self-motivated and be able to function with minimal supervision.
Must have working knowledge of MS Office products.
Must have analytical skills with the ability to communicate technical issues in an easy-to-understand manner.


Pay Rate: $31.25 - $36.00 per hour.
*Pay range offered to a successful candidate will be based on several factors, including the candidate's education, work experience, work location, specific job duties, certifications, etc.
Qualified candidates should APPLY NOW",17 hours ago
Engineering Technician II,Generac Power Systems,Ziprecruiter,"Jefferson, WI",Contract,https://www.ziprecruiter.com/k/l/AAJdRSmTG5WY9Ip88iqpC5gh_Joq11D2WkgzSfTmiwHVLwKhxlGLdkXi0-vrZ0CvgisN6SNVbs2VNjgeOaSDg4Dcx6Ujq6lDbdwZUJ075Ahdi3Z-HG_zCAuSujf0QjNltRuD--w2v-FsxdTCzalu2P8UCfD1kpB-Yci--N17rD-laHH0Ek9jZuwGI_N7kpB09c0Ruw?pageType=perl_serp,"Generac Power Systems is seeking an Engineering Technician II to join our research and development laboratory team. This position is responsible for performing electrical, mechanical, and environmental tests of current and new product designs. Product categories include various engine-powered tools, inverter generators, battery storage systems and electrical vehicle supply equipment (EVSE).
ESSENTIAL DUTIES:
· Setup test equipment and products in proper sequence per testing procedures.
· Perform tests on prototypes, existing, and competitor products for stated criteria involving mechanical, electrical, environmental, and electromechanical functions through ISO 17025 and Laboratory Scope of Operations.
· Use various mechanical, electrical, and electronic measurement devices.
· Accurately interpret and document scientific notation, temperature, pressure, and other measurements.
· Assists in the assembly and fabrication of test equipment and prototype products per blueprint specifications and assists in developing follow up documentation.
· Support manufacturing through troubleshooting activities.
· Maintain test-related documentation in database environment.
· Prepare formal and informal test reports.
· Assist with the Generac Engineering Laboratory Audit, our 5S methodology and participate in Continuous Improvement projects/programs.
· Contribute to the development of policies and procedures supporting the continuous improvement of the Engineering Lab.
· Actively participate with fellow Lab team members in daily maintenance of Lab environment and preventive maintenance of Lab equipment.
· Partner with fellow Lab team members to execute projects and assist where necessary.
MINIMUM QUALIFICATIONS:
· High School Diploma
· 2 years of relevant work experience or formal training in related field
PREFERRED QUALIFICATIONS:
· Formal or advanced technical training
· Excellent communication skills
· Ability to read mechanical drawings, wiring diagrams and electrical schematics
· Demonstrate knowledge and understanding of QMS, including ISO 9000 and ISO/IEC 17025
· Experience working with data acquisition systems, oscilloscopes, process meters, and other laboratory test instruments.
· Proficient with Microsoft Excel and Word to compile test data in standardized format and produce comprehensive test reports to the Engineers.
· Ability to operate and troubleshoot complex components and systems.
PHYSICAL DEMANDS:
While performing the duties of this job, the employee is regularly required to stand. The employee frequently is required to use hands to manipulate objects, tools or controls; and talk and hear. The employee is regularly required to walk; stoop; crouch; bend and reach above shoulders. The employee must frequently lift and/or move up to 50 pounds unassisted. Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception, and the ability to differentiate colors.. While performing the duties of this job, the employee will be working in the typical conditions of a manufacturing environment including seasonal variation in temperatures and occasional exposure to manufacturing fumes or by-products. The employee must comply with the assigned location PPE requirements including but not limited to safety glasses, hearing protection, appropriate gloves, clothing and shields for required tasks and closed toed or safety shoes as required by facility safety policies.
NOTE:
To formally apply to this position, click here: https://generacta.avature.net/careers/JobDetail/Jefferson-Wisconsin-United-States-Engineering-Technician-II/9886. You will not be considered an applicant until you complete online application.",21 hours ago
Manufacturing Engineer,"Edlund Company, LLC",Ziprecruiter,"Burlington, VT",Contract,https://www.ziprecruiter.com/k/l/AALv45zaZ6LzgimGiuQMbiehHv-UROJGKxVoDhBikYuAnB2qq7o0SMpjDjrhW4hQxCNg__M0mIDdUhQBX6TRd07I7rwXLRXh-zaSxqmCaZDL3n1VH4rgaf6BxH07944EDgmELxbOq_ShuIaIvpoFCzWLczGjLEmBqcN3wazEMcdSxEuywSy0mkIVm6fLGQIxhnlpHQ?pageType=perl_serp,"Edlund Company, an OEM manufacturer of commercial restaurant equipment is committed to providing cost-effective solutions, outstanding quality, and value-added equipment that meets the ever-changing needs in the global foodservice marketplace.
SUMMARY
Designs, plans, and coordinates production support of facilities, equipment and manufacturing processes in an industrial plant by performing the following duties.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Designs, develops, evaluates, and improves manufacturing processes and supporting documentation.
Supports manufacturing managers, supervisors, Quality and production employees with all aspects of efficient and safe production operations while maintaining quality at all times.
Participate in Lean initiatives on assembly lines which may include, but not limited to takt time to set-up lines for one piece flow, 5S, JBS (Job Breakdown Sheet) and Kanban’s for finished good.
Support improvement ideas generated from operators, leads and assembly personal.
Support quality in defining gap analysis in manufacturing, and define/develop quality “stop gaps” in process inspection in our manufacturing assembly lines.
Support quality in developing and writing product quality work instructions and final inspection criteria.
Support quality in proper use and training of measurement and test equipment throughout manufacturing.
Responsible for new and existing product design integration and design for manufacturing. Must review designs and blueprints, and coordinate and collaborate with product design teams.
Resolves technical manufacturing problems with production operators and supervisors.
Responsible for the accurate manufactured product and part costs. Estimates costs for new and modified parts and products. Establishes work measurement programs and analyzes work samples to develop standards for labor utilization. Develops and implements standard work instructions and procedures.
Designs factory layouts and production space requirements of manufacturing equipment and personnel to support optimum product workflow and efficiencies. Analyzes standard work, process and work flow, work force utilization, facility layout, production costs, waste of materials, etc., to determine efficient utilization of workers and equipment and recommends improvements.
Responsible for specification and sourcing of factory machinery, equipment, and tooling. Develops and writes equipment specifications, performance requirements, cost analysis, and proposal for integrating machinery and equipment. Oversees installation to ensure machines and equipment are installed and functioning according to specifications.
Provides technical support to purchasing, in liaison with vendors to determine product specifications and arrange for purchase of equipment, materials, or parts, and evaluates products according to specifications and quality standards.
Responsible for factory worker safety. Performs work center hazard analysis and ergonomic studies. Establishes safe factory processes and procedures, adequate personal protective equipment requirements, and required tooling and equipment.
OTHER NECESSARY FUNCTIONS
Follows all policies, procedures, ergonomic standards and safety requirements directed by Edlund Company and the department.
Ability to work flexible hours.
Ability to read and interpret documents such as rules, operating and maintenance instructions, and procedure manuals.
Ability to write technical and business correspondence.
Ability to effectively present information in one-on-one and small group situations to engineering team and/or employees.
Ability to use basic mathematic calculations and arithmetic.
Ability to perform these operations using units of U.S. and international monetary, weight measurement, volume, and distance.
Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form.
Ability to deal with problems involving several concrete variables in standardized situations.
SUPERVISORY RESPONSIBILITIES
None
QUALIFICATIONS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
EDUCATION and/or EXPERIENCE
Bachelors of Science degree (B.S.) in engineering from a four-year college or university; or one to two years’ related experience and/or training; or equivalent combination of education and experience.
CERTIFICATES, LICENSES, REGISTRATIONS
Licensed Engineering certification preferred
REQUIRED COMPETENCIES AND APITUDES
Excellent project and time management skills
Excellent organizational and customer service skills
Ability to positively and comfortably handle and prioritize multiple tasks in a fast-paced environment with focused attention to detail & Quality.
Self-motivated positive team player with ability to interact with individuals at all levels.
Ability to make independent decisions in accordance with company policy.
Strong analytical skills and the ability to propose positive business solutions to problems.
Ability to clearly and concisely report data via spreadsheets.
Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form.
Ability to keep accurate records.
Ability to read, analyze, and interpret common scientific and technical journals, financial reports, as well as legal documents.
Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community.
Ability to write speeches and articles for publication that conform to prescribed style and format.
Ability to read, analyzes, and interprets common technical journals, costing reports, and management documents.
Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community.
Ability to write correspondence and technical articles.
Ability to effectively present information to top management, public groups, and/or boards of directors.
Ability to apply advanced mathematical concepts such as exponents, logarithms, quadratic equations, and permutations.
Ability to apply mathematical operations to such tasks as frequency distribution, determination of test reliability and validity, analysis of variance, correlation techniques, sampling theory, and factor analysis.
Ability to define problems, collect data, establish facts, and draw valid conclusions.
Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables.
TECHNICAL SKILLS
Proficiency in Microsoft Office, Word and Outlook.
Advanced skills in Microsoft Excel
Crystal Reporting is a plus
Experience with IQMS is a plus.
OTHER SKILLS AND ABILITIES
Knowledge of MRP (Manufacturing Resource Planning) production control systems
Knowledge of manufacturing technology and standard business practices
Familiar with OSHA Federal & VOSHA State safety regulations
Familiar with MTM (Motion Time Measurements) System for Time Standards
Familiar with CNC Programming and Tooling
Familiar with ISO9000 Quality system, quality and workmanship manuals
PHYSICAL DEMANDS
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Frequently required to sit type; use hands to finger, handle, or feel; and reach with hands and arms (67% - 100% of the workday).
Regularly required to stand, walk, talk and hear.
Occasionally must lift and/or move up to 50 pounds.
Specific vision required includes close, peripheral, and distance vision, as well as color vision and depth perception.
Ability to adjust focus.
Position is occasionally exposed to moving mechanical parts.
Occasionally exposed to wet and/or humid conditions as well as outside weather conditions.
The noise level in the work environment is usually moderate
Must work in shop atmosphere at times.
Loud noises exist in machine shops.
PPE (Personal Protective Equipment) is provided.",13 hours ago
Project Engineer,OCI,Ziprecruiter,"Wever, IA",Contract,https://www.ziprecruiter.com/k/l/AAL4waJoRXCuzzyGyu3gnVwD2Ozgf_CwWzCq5cLBIwPsS69yOZNDyaOXmXLeCm03ygou27zZeQnj6sITcabpMdpGQEhxXAWiSBbC1Qnt-3CxayTF5koYWtQeZADFIAUXOLSyEa9Wc4WU_C2b4q5eOrpiXh8GBCkJlwsJH9eQMe_RMqEQHYSU0WGoUbScGn3aHdyTag?pageType=perl_serp,"OCI Nitrogen North America is looking for a Project Engineer to join our Engineering team in Wever, Iowa. The Project Engineer will be proficient in developing, executing, and controlling assigned projects in support of plant performance goals. With expert application of engineering principles and techniques, the candidate will investigate and clearly define projects that optimize and improve the production capability of the plant. The Project Engineer will make sound recommendations, considering factors such as safety, cost, schedule, operability, maintainability, and materials and methods of construction.
As a Project Engineer you will:
· Plan, organize, direct, cost control and implementation of approved projects. Conform with Environmental, Health & Safety regulations and quality control procedures expected. Perform administrative duties for the section including preparing and monitoring budget.
· Work with the capital projects team to develop 3- year and 5-year capital plans, identifying capital needs, determining the feasibility of solutions, and developing estimates.
· Provide technical support through activities such as equipment design and specification, machinery trouble shooting and equipment inspections, as well as supervision during Plant Turnarounds.
· Take ownership of engineering projects from conception to completion as self-directed work, applying all areas of engineering expertise to obtain feasible, effective solutions, fabrication, and execution for key projects.
· Prepare equipment fabrication and repair specifications for project and maintenance requirements.
· Coordinate and supervise outside contractors, etc. as assigned to approved projects.
· Design and plan layout of equipment.
· Prepare regular project and monthly reports presenting the results of studies, proposals, and the status of work in progress.
· All other duties and responsibilities as assigned.
QUALIFICATIONS
Education
· Bachelor’s Degree in Chemical or Mechanical Engineering required.
Experience and Qualifications
· 5+ years’ plant engineering experience in a chemical industry or refining environment. Fertilizer manufacturing experience is a plus.
· SAP experience is a plus.
· Ability to read and produce technical reports and diagrams of the manufacturing process.
· Experience in project gate keeping and development of the FEL phases.
· Strong project management skills through either formal project management training/certification (such as a PMP certification), or significant demonstrated project management experience.
· Strong ability to manage multiple capital projects and engineering assignments.
· Experience in developing RFQs/RFPs in industrial construction environments.
· Experience in hydrocarbon processing or reforming or synthesis gas production.
· Experience with Cost Tracking and Change Management is preferred.
· Proficient in Microsoft Office (Outlook, Word, Excel, TEAMS, PowerPoint).
Physical Requirements
· Ability to work outdoors in all weather conditions.
Bending, kneeling, lifting up to 50 pounds.
Ability to climb straight ladders. Some work may require heights in excess of 100 feet.
Wearing industrial chemical plant uniforms and PPE as required.
Wearing a respirator when/where required to perform inspections/job duties.
Confined space entry may be required.
Company Profile
OCI Global is a leading global producer and distributor of nitrogen products and methanol providing sustainable solutions to agricultural and industrial customers around the world. Our production capacity spans four continents and comprises approximately 16.1 million metric tons per year of nitrogen fertilizers, methanol, diesel exhaust fluid, melamine, and other nitrogen products. We are headquartered in the Netherlands and listed on Euronext in Amsterdam. We are proud to have cultivated a strong community focused identity as a local employer with 3,600 employees around the world. Our employment strategy has resulted in a diverse global workforce encompassing 25 nationalities located in ten countries, with diverse ethnicities, religious beliefs, cultures, orientations, ages, and other traits working together respectfully and with a shared sense of purpose.
OCI is an equal opportunity employer that recruits, hires, trains, and promotes regardless of race, color, age, disability, sex, national origin, or religion. We value diversity in our workforce and in the communities we serve.
Benefits
OCI offers a comprehensive, first-class benefits package starting the first day of the month following an employee’s hire date.
· Medical insurance
· Prescription drug insurance
· Dental insurance
· Vision insurance
· Life insurance
· Disability insurance
· 401(k) program with company matching.
· Paid holidays.
· Paid time off (PTO)
Disclaimer
This is not necessarily an exhaustive list of all responsibilities, skill, tasks, requirements, efforts, or working conditions associate with the job. While this is intended to be an accurate reflection of the current job, OCI Nitrogen North America reserves the right to revise or change job duties and responsibilities as business needs arise. In compliance of EEOC regulations, if the employee cannot perform the essential functions of this position in a satisfactory manner, further accommodations shall be made if it does not constitute undue hardships upon this organization.
Employment is contingent upon the successful completion of a background check, pre-employment physical and drug screen. A valid driver’s license is required.",20 hours ago
Aerospace Stress Analysis Engineer,ATR International,Ziprecruiter,"Huntsville, AL",Contract,https://www.ziprecruiter.com/k/l/AAKAQuZIeBxI5RC2rJilgZ7VYSJBpN8Mt0LzugdirPr8d9GZTrqY27aq6Z6vNTN-PZLZ87LtLznbd3SkLKzz8rQ3Eou7hCGrc3UgEzJD3KhIGo8Q0y-qytifILpxnLE6RAtd6tJbnA_FgCy3gynNAqAIm9H2sBroIIF-_9aCMrn8DI7u1sF6TQcoDaua3q4ieaQNNw?pageType=perl_serp,"Huntsville AL
Salary Range: $85,000 - $120,000
US Citizenship required
Paid Relocation is available
As a Stress Analysis Engineer, you are accountable for stress analysis support of new and existing Aerospace Transparencies products. In this role, you will provide stress analysis and evaluations to assure that products and transparencies programs will profitably meet performance expectations defined by the customer, regulatory agencies, and the design engineering staff.
Key Responsibilities:
· Frequent collaboration with customer stress analyst authorities to develop a detailed understanding of airframe structural requirements.
· Lead all aspects to improve plant key performance indicators and manufacturing/operational metrics, as well as being a technical resource to production personnel to ensure working conditions meet all safety requirements.
· Communicate stress analysis study results, to customers, and to governmental regulatory agencies.
· Work closely with customers, the transparencies design engineering group, and other teams to develop structurally sound aircraft window designs
· Function as the structural subject matter expert (SME) representing Aerospace at program milestone events, such as Preliminary Design Reviews (PDR) and Critical Design Reviews (CDR).
Qualifications:
· Bachelor's Degree in Aerospace or Mechanical Engineering with 8+ years of proven experience.
Master's Degree with 5+ years’ work experience.
· 3+ years of proven experience in Finite Element Modeling and structural analysis of aircraft structures.
· Prior experience in formal engineering reporting and documentation systems and experience with education and training in positions directly related to finite element stress analysis in an aerospace environment highly sought after.
· Proficiency in Microsoft Office Suites and experience with commercial FEM/FEA software required
FEMAP and NX NASTRAN preferred.
· Proficient in classical structural analysis and finite element methods.
· Proficient in the use of FEMAP and NX Nastran, linear static solution and nonlinear static solution.
· US citizenship required.",19 hours ago
Building Engineer,CBRE,Ziprecruiter,"Fort Worth, TX",Contract,https://www.ziprecruiter.com/ek/l/AAKvt1zgDWZHLaHBBXAIMqQw99yjChm6MCHsbjfnsXQe0Mpv4QW4TWmXLorgfHEew4udL1d9Ikd5cV-rBE6QG81ZSU2WlUHw1Itevd0GoAZ3LDFKChHzHqh7-mIFaMID3yWY2Yjgiupbc_rVU1pd_KCIf6oX1ytL23gBHm6pGSv6ci75nbiBVrS-Yzdv5q5IfGt3ig?pageType=perl_serp,,Today
Engineering Tech/Materials Tester,ROLINC Staffing (DMW),Ziprecruiter,"Commerce City, CO",Contract,https://www.ziprecruiter.com/k/l/AAI85ZBHCf8Z0S0o06HS2J2o-oAhkYfty3tyDFUwnxP8Q7HdeMnblFg4eMcLqnR5smm74e-a6xmjPoADabLm_FR3--EVdMSrLXRjpFXLG0a-olPjYRy7Qv53EjXLq7y5RRLxOP_ea45T12L9xNSQZoHgJOQmiGCZ-921ce6gO1MDI_jc3VgcA5vLfNK6rRfq6jWZ6A?pageType=perl_serp,"Are you ready to build a construction career with a company that offers growth opportunities from day one?
Do you want to work for a company that is willing to invest in you and your ability to build a great career?
Do you want to have control over your own financial growth?
Have you ever thought about becoming an engineer? It's not that far out of your reach.
Then this is the position for you! This company will pay for you to get over 20 certifications, and give you a $1 raise for every certification you earn. When you’ve completed them all, you will be a certified Geotechnical Engineer!
Job Description:
You will do testing on civil construction materials like soil, concrete, and rebar.
What you Bring to the Table:
Experience in construction settings/working in the elements
Ambition to learn new things while starting from the ground up
Willingness to work overtime
Starting Pay Range: $19-21 depending on experience. You can easily raise your own pay by $2-3/hour within six months.
Benefits Offered upon Conversion:
Medical, Dental, and Life Insurance
401k
7 paid holidays
Eventual option for profit sharing
Pre-employment screening is apart of our process. To learn more, please submit your resume.
We are interviewing ASAP, and are looking forward to talking with you!
Thanks,
Laura
About ROLINC Staffing: Connecting great job seekers with great companies along the Colorado Front Range and beyond!
ROLINC Staffing provides targeted talent solutions for manufacturing, distribution and construction companies as well as government facilities, and helps career-seekers find jobs within those industries. ROLINC also offers solutions for HR, safety, cost containment and other employment solutions and best practices.
Founded in 1991 in Englewood, CO, ROLINC was a firm ahead of its time trying to connect businesses with qualified candidates through an exclusive online network: Resumes On-Line, Inc. (ROLINC). In 1993, we transitioned away from the online database model. Instead, we focused on becoming a niche staffing firm, moving into the skilled trades, construction trades and industrial services.
Reach out to ROLINC today if you are pursuing a position that uses your targeted skills. We strive to hit the mark!
Job Type: Full-time
Salary: $19.00 - $20.00 per hour
Benefits:
401(k)
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
10 hour shift
Day shift
Monday to Friday
Overtime
Ability to commute/relocate:
Commerce City, CO: Reliably commute or planning to relocate before starting work (Required)
License/Certification:
Driver's License (Required)
Work Location: In person
Job Type: Full-time
Salary: $19.00 - $21.00 per hour
Benefits:
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Schedule:
8 hour shift
Day shift
Monday to Friday
Overtime
Ability to commute/relocate:
Commerce City, CO: Reliably commute or planning to relocate before starting work (Required)
Experience:
Construction: 1 year (Preferred)
License/Certification:
Driver's License (Required)
Work Location: In person
Job Type: Full-time
Salary: $19.00 - $21.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Vision insurance
Schedule:
10 hour shift
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Commerce City, CO: Reliably commute or planning to relocate before starting work (Required)
Work Location: In person",23 hours ago
Applications Engineer,Allied Universal® Technology Services,Ziprecruiter,"Boston, MA",Contract,https://www.ziprecruiter.com/ek/l/AALPNBjrOCn68XHCkDnte_S-12IjW9JLyI9g8hLZtvasckPnmhkoDJ8SHGDD2Kn4Evi4q85SDwjfRVjGVvMiLAQo6fNs5ypMIsq_MSItzCVrGQs82DlNrIG_yjiDiNLflBqKjqJfyNLXWatF3V16ahauOHXx2TkVdneH9bG-hL4kPoNO0jTy6bYeo0-77117Psjmxg?pageType=perl_serp,,Today
Full-Stack / Back-End Developer with Android Experience,HospiceMD,Ziprecruiter,"Covina, CA",Contract,https://www.ziprecruiter.com/k/l/AALRouoPH9fz-GbMOFO9ADKFU8AsgzyIiWIt2MBxybnPS7plOpZP5Ln7w__8n8VyceMsMh1wlVnxYIQCf-pHWPsMXBLX7CjafcHM9hTRZCXXw3GOzbEcsJWK-iVX9N-5HCWNyiBDIUGRhXjX0iwewzECdc-zIpeiDkgbk0Cyt6sXvVuS3-PRGLV0uIzaD_eQr6GEQLU?pageType=perl_serp,"Job Summary:
We are seeking a skilled developer with experience in building backend RESTful and SOAP services using .NET Core and .NET Framework. As a Full-Stack / Back-End Developer, you will be responsible for designing, developing, and maintaining Restful/SOAP backend services, as well as producing code using .NET languages such as C# and VB .NET. You will work closely with internal teams, including the App Team and project managers, to define project requirements and timelines, and provide technical support for mobile applications and web products. Additionally, you will participate in code reviews, troubleshoot and debug issues, and stay up-to-date with emerging technologies and industry trends.
Responsibilities:
Design, develop and maintain Restful/SOAP backend services using the .NET Core framework
Producing code using .NET languages (C#, VB .NET)
Upgrading, configuring and debugging existing systems
Design, develop and maintain both SQL and NoSQL databases
Develop RESTful APIs for internal and external consumption
Convert existing SOAP APIs to REST
Collaborate primarily with the App Team and project managers to define project requirements and timelines
Providing technical support for web, desktop or mobile applications
Participate in code reviews and ensure code quality and maintainability
Stay current with emerging technologies and industry trends
Troubleshoot and debug issues as they arise
Help maintain code quality, organization, and automatization
Requirements:
Bachelor's degree in Computer Science, Software Engineering or related field
Minimum of 3 years of experience in developing web applications using .NET Core
Strong knowledge of .NET web framework
Strong understanding of object-oriented programming
Skill for writing reusable libraries
Experience in designing, developing and maintaining both SQL and NoSQL databases
Experience in developing RESTful and SOAP APIs in C# ASP.NET MVC
Strong understanding of software development best practices
Experience with Android Application Development is a plus
Experience with Version control (GIT)
Strong analytical and problem-solving skills
Familiar with IT Risk Management and Audit Standards
Experience with software testing and debugging.
Excellent written and verbal communication skills
Preferred Qualifications:
Experience with Firebase
Experience developing Android applications using Kotlin
Knowledge of other programming languages such as Java or Python.
Experience with Agile software development methodologies
HospiceMD is committed to the principle of equal employment opportunity for all employees without regard to race, color, religion or belief, national, social or ethnic origin, sex, age or other factors.",19 hours ago
