job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type
Software Developer- OpenCL,Impact Health ,Remote,"Responsibilities:
Development and optimization of algorithms and software using OpenCL technology for parallel processing on GPUs and other accelerator devices.
Implementation of algorithms using OpenCL C and Python
Collaboration with hardware engineers and software developers to design and optimize algorithms for efficient use of hardware resources.
Implementation and testing of OpenCL kernels on various platforms.
Analysis of performance and optimization of algorithms for improved efficiency and scalability.
Staying up-to-date with the latest developments in OpenCL and related technologies.
Documentation of your work.
Requirements:
Experience in developing software using OpenCL.
Strong knowledge of parallel computing and optimization techniques.
Experience in software development for GPUs or other accelerator devices.
Problem-solving skills and ability to work in a fast-paced environment.
Preferred Qualifications:
PhD in Computer Science, Electrical Engineering or related field.
Experience in developing software using OpenMP, CUDA or other parallel programming frameworks.
Strong knowledge of computer architecture and system-level programming.
Experience in profiling and analyzing performance of parallel applications.
Job Types: Full-time, Contract
Salary: $70.00 - $80.00 per hour
Schedule:
8 hour shift
Day shift
Monday to Friday
Education:
Master's (Required)
Experience:
OpenCL, Python, Parallel Processing/ GPU/CPU: 4 years (Required)
As a Software Developer/Programmer/ Engineer: 4 years (Required)
Work Location: Remote
Speak with the employer
+91 9621126954",https://www.simplyhired.com/job/pA9x4MTyDYNMIm44-f8DaxUjWbp16fCFHLGDhKO6uFZb_XZg43htZA?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-3b0e7b99b0388b72-,1 hour ago,Simplyhired,contract
"Looking for Workday Integration Developer -Remote in Bridgewater, NJ-Remote",ConfigUSAINC,Remote,"Workday Integration Developer
NJ
Long Term Contract
We need Workday Integration Consultant for
3-5 months
Workday Studio,
Workday payroll integrations (PECI),
APIs (Get and Post),
8hrsl/day with flexible work as per project need
Requirements:
2-3 years of Workday experience of end to end integration development
Hands-on configuration of business processes
Security maintenance, administration, management of access for users, revamp of rules- ability to audit and streamline processes for efficiency, and creation of new security groups
Documentation of processes
EIB load and creation
Creation of Advanced, Custom, and BIRT reports
Studio, Cloud Connectors, Core Connectors, CCB, PICOF, PECI
Job Types: Full-time, Part-time, Contract
Pay: $31.00 - $65.00 per hour
Schedule:
8 hour shift
Work Location: Remote",https://www.simplyhired.com/job/kiAQu1XmlXvEG6deT02aEbKgVmwc9SPSFFfrr4MH9gMifisdTsSqDw?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-4ff3d05dcbc2527b-,1 hour ago,Simplyhired,contract
Mainframe - Assembler,Arthur Grand Technologies Inc ,Remote,"Position: Mainframe – Assembler
Duration : Long Term Contract
Minimum Skill and Experience Requirements
These positions require minimum education of bachelor’s degree (BS/BA) or equivalent and minimum of 5 years of related work experience in the following areas.
Hands-on experience to analyze Job Control Language (JCL) and Assembly Language Code (ALC) to extract data required for data rationalization and usage analysis (Required)
Experience working with clients on mainframe and legacy modernization initiatives.
Working experience with Microsoft PowerPoint, Business Analysis, Technical Reviews, Technology Roadmaps, Full SDLC Software Documentation.
Experience in developing Technical Documentation, Requirement Prioritization, Developing Technical Requirements and Specifications.
Support the development of design patterns for the 701-61 target-state architecture.
Utilize scripts and tools to automate analysis, as needed.
U.S. Citizen or a Legal Permanent Resident (LPR) with at least three or more years of U.S. residency as a LPR with no break in U.S. residency of a year or more.
Job Type: Contract
Schedule:
8 hour shift
Work Location: Remote",https://www.simplyhired.com/job/ykST4hILN3n3SojvkSwtKvIbkw7bgTYuibzPDYXH67BkUTaNsl8ICA?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-df63343c3247d9b3-,1 hour ago,Simplyhired,contract
Workiva Analyst,BigLynx Inc ,Remote,"BigLynx, Inc is an American multinational technology corporation headquartered in Seattle, Washington, with operations in the United States, Canada, and India. The company began in 2016, as a product development company specializing in AI/ML Data Engineering in the Retail vertical space with its products warehouse & fast. Post Pandemic in 2022, BigLynx added a business division of boutique technology consulting, specializing in Data Engineering, Full Stack, and Microsoft Dynamics helping clients build the next generation data platform and big data pipelines.
Job Description:
Required Skills:
6-8 years of software development experience with at least 3+ years on Workiva
Analyzing complex business requirements and developing data visualizations and reports to provide insights to decision-makers.
Capture reporting requirements from various stakeholders, architect the solution/report, understand/analyze the source data and deliver the reports in a timely manner.
Experience in integrating multiple data sources across different technologies essential.
Workiva Analyst experienced in SEC, ESG, SOX reporting, and Integration of API
Data Transformations and Modelling using Workiva.
Create relationships between data and develop tabular and other multidimensional data models.
Performance Monitoring, fine-tuning, and optimization of reports/dashboards.
Analytical thinking for translating data into informative reports and visuals.
Expert in using advanced-level calculations on the data set.
Strong knowledge of technical aspects of visualization, analytics, and BI applications including data modeling, data preparation/ profiling, and data integration.
SQL querying for best results, use of filters and graphs for better understanding of data.
Experience in publishing and sharing dashboards, and scheduling data refreshes.
Should have strong SQL skills, Data Warehousing, and Business Intelligence concepts.
Nice to Have:
Experience in integrating multiple data sources across different technologies is essential.
Proficiency in one but a basic understanding of multiple BI platforms could be an add-on.
Demonstrable experience leading a BI team.
Test Driven Development & Unit Testing.
Experience with building PBI reports on Snowflake would be preferable.
Job Type: Contract
Pay: $50.00 - $55.00 per hour
Experience level:
7 years
Schedule:
8 hour shift
Application Question(s):
Expected Rate Per Hour?
Experience:
software development: 7 years (Required)
Workiva: 3 years (Required)
Work Location: Remote",https://www.simplyhired.com/job/QWBQIiMGsGxTiSreVgMs3V6roc1ZndPZWxv0xEUj-qtuVhXRZRHPww?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-b934502bf056bfa6-,2 hours ago,Simplyhired,contract
Mainframe Developer,X,Remote,"Required/Desired Skills:
Required - 3yrs - z/OS Systems experience
Required - 3yrs - CICS TS installation
Required - 3yrs - z/OS Operating System experience with subsystem (CICS/IMS/RACF, etc.), 3rd party program products, storage management.
Required - 3yrs - CICS debug and analysis
Job Types: Full-time, Contract
Salary: From $90.00 per hour
Schedule:
8 hour shift
Experience:
z/OS Systems: 3 years (Preferred)
CICS TS installation: 3 years (Preferred)
z/OS Operating System: 3 years (Preferred)
3rd party program products, storage management: 3 years (Preferred)
CICS debug and analysis: 3 years (Preferred)
Work Location: Remote
Speak with the employer
+91 6465832686",https://www.simplyhired.com/job/OiNV76aiLHOF9zysicUFHjJDFHQZIwDxZ7fM4qRirF_tozKcH800mg?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-fbe83008c39d287b-,1 hour ago,Simplyhired,contract
Mainframe Developer,x,Remote,"Required/Desired Skills:
Required - 3yrs - z/OS Systems experience
Required - 3yrs - CICS TS installation
Required - 3yrs - z/OS Operating System experience with subsystem (CICS/IMS/RACF, etc.), 3rd party program products, storage management.
Required - 3yrs - CICS debug and analysis
Job Types: Full-time, Contract
Salary: From $80.00 per hour
Schedule:
8 hour shift
Experience:
z/OS Systems: 3 years (Preferred)
CICS TS installation: 3 years (Preferred)
z/OS Operating System: 3 years (Preferred)
CICS debug and analysis: 3 years (Preferred)
3rd party program products, storage management: 3 years (Preferred)
Work Location: Remote",https://www.simplyhired.com/job/x_pgNKwrvvHnM-M5SnL47HYMZiTxzM59jmJQ7TUFBoCSA0BAyYsvIQ?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-da9cda376d8344db-,1 hour ago,Simplyhired,contract
Principal Software Engineer,Altec Resource Group,"Riverdale, IL","Title - Principal Software Engineer
Job type : W2 contract Full time
location : (Remote/ Quarter Yearly travel) Riverdale, MD
You would be supporting Earth Science (ESDIS) in its mission to provide scientists and other users access to data from Earth science missions.
Designing, building, automating, deploying, and supporting scalable data pipelines for extracting, transforming, and loading data into data warehouse solutions. Analyzing complex datasets, detecting and visualizing trends and patterns, developing conclusions, and providing recommendations.
10 years of experience working in the Cloud.
Amazon Web Services (AWS)
Advanced Knowledge of relationship databases and SQL.
Experience with Amazon Web Services (AWS) compute, serverless, and storage services such as EC2, Lambda, and S3.
Experience working in Lean Agile/ Scrum methodologies.
Experience using the Scaled Agile Framework (SAFe) methodology
Job Types: Full-time, Contract
Salary: $110,000.00 - $125,000.00 per year
Ability to commute/relocate:
Riverdale, IL 60827: Reliably commute or planning to relocate before starting work (Required)
Experience:
10 years experience as a Software Engineering (Preferred)
Work Location: One location",https://www.simplyhired.com/job/b5xkU7osdTRJb9nHtxBua6ILEZ7SEKuXFMe3a4cRM3Ta2L9sMbPuMQ?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-68a9d47658f7137e-,1 hour ago,Simplyhired,contract
Senior ROR developer with Google Cloud (GCP) Manditory,Rackera Inc,Remote,"Must have skills:
· Perform other job duties as assigned
Bachelor's degree in a related field
4-6 years related work experience
Full-stack Ruby on Rails / Angular
Experience on Google Cloud
Experience with Docker and Kubernetes
Roles and responsibilities :
· Perform all commercial software development duties, including but not limited to technical design, coding, and unit testing so that high quality commercial software releases are delivered to clients in a predictable and consistent schedule according to WellSky development processes
Collaborate with solution team(s) to define requirements, conduct analysis, and solve problems
Prepare technical documentation, conduct, and participate in code reviews to ensure that commercial software code meets internal standards and follows industry best practices and the highest quality
Offer technical direction and guidance to other development team members and assist in managing development environments as well as installing and configuring commercial solutions
Deliver solutions that follow best practices and established design patterns
Job Type: Contract
Salary: $70.33 - $75.34 per hour
Schedule:
8 hour shift
Weekend availability
Experience:
REST: 1 year (Preferred)
Java: 1 year (Preferred)
Work Location: Remote",https://www.simplyhired.com/job/McHC3WO5k1dfWrg3gONm72m3HZlWoGj6S85zOw1Nv4CE5OHZQrgBlA?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-83333995a8ce732a-,1 hour ago,Simplyhired,contract
Informatica AWS cloud Developer,cyberThink ,"Reston, VA","Client : Hexaware/Fannie Mae
Role : Informatica AWS cloud Developer
Location : Reston, VA|| Remote
Duration : Long Term
Job Description
5+ years of hands on ETL development experience on Informatica Power Center
Good experience in shell scripting
Strong in SQL, Autosys
Experience on Unix environment and job scheduling tool
Must Have Primary Skills : Informatica, ETL, SQL,AWS
Thanks & Regards,
Tushar Chaudhary
Sr Technical Recruiter
9089882599
Tushar.Chaudhary@cyberthink.com
www.cyberthink.com
Job Type: Contract
Salary: $60.00 - $65.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Experience:
Informatica: 5 years (Required)
etl: 5 years (Required)
aws: 5 years (Required)
power center: 5 years (Required)
Work Location: Remote
Speak with the employer
+91 9089882599",https://www.simplyhired.com/job/0HZZ1hWnSiAQmdKF6O3N4-Uy5bEgq3EDtBd4xlQoXKPh6tmhwdQtEQ?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-7c5551ba35137ee1-,1 hour ago,Simplyhired,contract
Java Developer,"Stefanini, Inc ","Dearborn, MI","Stefanini Group is hiring!
Stefanini is looking for Java Developer For Remote Role
For quick apply, please reach out Pintu Singh:
Phone: 248 936 0647
Email: pintukumar.singh@stefanini.com

Open to W2 candidates only!

Position Description:
The Stefanini seeks an individual ready to be on a full-stack software engineering team. You will be a part of a Lean, Agile, and eXtreme Programming team. We engage in paired programming, test-driven development, continuous integration and continuous deployments methods daily.



Skills Required:
-Seeking an individual who is ready to start developing software on day 1. -Experience building microservice architectures including gateway, authentication, and config services. -Knowledge of CI/CD pipelines such as Jenkins. -Hosting solutions such as Pivotal Cloud Foundry or Google Cloud Platform. -Zero downtime, blue-green deployment. -Database schema management with h2 and Liquibase. -Supporting migrations for updates and new data centers. -OAuth and ADFS authentication. -Integrating with third-party services such as LDAP, O365, and WebEx. -HIPPA and PII data handling and encryption
Experience Required:
You MUST be willing to Pair-Program and be paired up each and every day. Strong communication skills and interest in a paired-programming environment Passion for growing your skills, taking on exciting work and challenging problems
Education Required:
BA/BS in Computer Science or related field, or equivalent experience

Listed Salary Range may vary based on experience, qualifications, and local market, Also some positions may Include bonuses and other Incentives

About Stefanini Group
The Stefanini Group is a global provider of offshore, onshore and near shore outsourcing, IT digital consulting, systems integration, application and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is in countries like Americas, Europe, Africa and Asia, and more than 400 clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting, company with global presence. We are CMM Level 5 company.",https://www.simplyhired.com/job/TQK0yhYvzdL1oi9t1PXqyiE_xxxn2zwsOsCckR22OBa4y3kIVZSxQg?jobCardTrackingKey=3-0-1gvm5ik3gk63j801-1gvm5ik3ni39t800-d889ac561e37c992-,10 hours ago,Simplyhired,contract
